コード,都道府県,可住地面積,可住地面積割合,宅地面積,宅地面積割合
1,北海道,22372.39,28.53,1049.83,1.34
2,青森県,3229.70,33.48,297.89,3.09
3,岩手県,3714.01,24.31,320.28,2.1
4,宮城県,3154.88,43.32,404.14,5.55
5,秋田県,3204.37,27.53,253.19,2.18
6,山形県,2884.80,30.94,254.63,2.73
7,福島県,4217.11,30.59,423.97,3.08
8,茨城県,3975.12,65.2,692.97,11.37
9,栃木県,2982.76,46.55,442.46,6.9
10,群馬県,2279.36,35.83,423.44,6.66
11,埼玉県,2584.64,68.06,692.35,18.23
12,千葉県,3554.33,68.91,749.07,14.52
13,東京都,1421.43,64.79,576.12,26.26
14,神奈川県,1470.93,60.88,599.01,24.79
15,新潟県,4535.32,36.04,465.28,3.7
16,富山県,1842.82,43.38,240.11,5.65
17,石川県,1391.82,33.25,193.36,4.62
18,福井県,1077.29,25.71,162.17,3.87
19,山梨県,954.38,21.37,172.73,3.87
20,長野県,3225.52,23.78,478.54,3.53
21,岐阜県,2211.13,20.82,365.36,3.44
22,静岡県,2749.48,35.35,561.81,7.22
23,愛知県,2988.21,57.77,855.89,16.55
24,三重県,2059.18,35.66,347.29,6.01
25,滋賀県,1307.22,32.54,229.97,5.72
26,京都府,1173.82,25.45,222.56,4.83
27,大阪府,1330.58,69.84,518.4,27.21
28,兵庫県,2782.93,33.13,576.72,6.86
29,奈良県,855.53,23.18,153.48,4.16
30,和歌山県,1115.06,23.6,154.1,3.26
31,鳥取県,900.83,25.69,108.22,3.09
32,島根県,1298.88,19.36,137.73,2.05
33,岡山県,2218.71,31.19,356.89,5.02
34,広島県,2311.09,27.25,364.39,4.3
35,山口県,1706.97,27.93,274.23,4.49
36,徳島県,1010.35,24.36,133.33,3.22
37,香川県,1005.59,53.58,182.41,9.72
38,愛媛県,1673.26,29.48,229.77,4.05
39,高知県,1163.11,16.37,103.09,1.45
40,福岡県,2761.53,55.38,637.41,12.78
41,佐賀県,1335.61,54.72,162.88,6.67
42,長崎県,1674.96,40.55,203.85,4.93
43,熊本県,2796.26,37.74,334.58,4.52
44,大分県,1798.93,28.37,215.81,3.4
45,宮崎県,1849.88,23.91,247.57,3.2
46,鹿児島県,3312.88,36.06,371.85,4.05
47,沖縄県,1169.02,51.25,142.48,6.25
