date,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,山梨県,長野県,富山県,石川県,福井県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,全国,北海道,東北,関東甲信越,東海北陸,関西,中四国,九州
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,1,0,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,1,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8,2,1,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,16,0,1,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,1,0,1,5,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,21,0,1,0,0
2020-02-19,0,0,0,0,0,0,0,0,1,1,0,1,5,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,22,0,1,0,0
2020-02-20,0,0,0,0,0,0,0,0,1,1,0,1,6,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,24,0,1,0,0
2020-02-21,0,0,0,0,0,0,0,0,1,1,0,1,6,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,25,0,1,0,0
2020-02-22,0,0,0,0,0,0,0,0,1,1,0,1,7,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,0,0,26,0,1,0,1
2020-02-23,0,0,0,0,0,0,0,0,1,1,0,1,7,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,0,0,26,0,1,0,1
2020-02-24,0,0,0,0,0,0,0,0,1,1,0,1,7,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,0,0,26,0,1,0,1
2020-02-25,1,0,0,0,0,0,0,0,1,2,0,1,7,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,1,0,26,0,1,0,1
2020-02-26,1,0,0,0,0,0,0,0,1,1,0,1,8,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,1,0,26,0,1,0,1
2020-02-27,1,0,0,0,0,0,0,0,0,1,0,1,8,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,1,0,25,0,1,0,1
2020-02-28,2,0,0,0,0,0,0,0,0,2,0,1,8,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,34,2,0,30,0,1,0,1
2020-02-29,2,0,0,0,0,0,0,0,1,2,0,1,9,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35,2,0,32,0,0,0,1
2020-03-01,1,0,0,0,0,0,0,0,1,2,0,1,9,17,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,34,1,0,31,1,0,0,1
2020-03-02,1,0,0,0,0,0,0,0,1,3,0,1,9,16,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,34,1,0,31,1,0,0,1
2020-03-03,1,0,0,0,0,0,0,0,1,3,0,2,8,13,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,1,0,28,1,0,0,1
2020-03-04,2,0,0,0,0,0,0,0,0,3,0,3,7,14,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,2,0,28,1,0,0,1
2020-03-05,4,0,0,0,0,0,0,0,0,3,0,3,6,14,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33,4,0,27,1,0,0,1
2020-03-06,3,0,0,0,0,0,0,0,0,3,0,3,6,14,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,3,0,27,1,0,0,1
2020-03-07,6,0,0,0,0,0,0,0,0,3,0,3,6,15,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,6,0,28,1,2,0,0
2020-03-08,7,0,0,0,0,0,0,0,0,3,0,3,7,15,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,7,0,29,1,3,0,0
