日付,実施中,死亡,離脱
2020-02-12,2,0,0
2020-02-13,3,0,0
2020-02-14,3,0,0
2020-02-15,5,0,0
2020-02-16,6,0,0
2020-02-17,7,0,0
2020-02-18,8,0,0
2020-02-19,11,0,0
2020-02-20,11,0,0
2020-02-21,13,0,1
2020-02-22,14,0,1
2020-02-23,13,0,2
2020-02-24,14,0,2
2020-02-25,14,0,2
2020-02-26,14,0,3
2020-02-27,14,0,3
2020-02-28,14,0,4
2020-02-29,15,0,4
2020-03-01,15,0,4
2020-03-02,15,0,4
2020-03-03,15,0,5
2020-03-04,17,0,5
2020-03-05,16,0,6
2020-03-06,14,1,7
2020-03-07,13,1,8
2020-03-08,13,1,8
2020-03-09,13,1,10
2020-03-10,12,1,11
2020-03-11,12,1,12
2020-03-12,13,1,13
2020-03-13,12,1,14
2020-03-14,12,1,16
2020-03-15,13,1,16
2020-03-16,13,1,16
2020-03-17,16,1,17
2020-03-18,14,2,19
2020-03-19,15,3,18
2020-03-20,14,4,18
2020-03-21,14,4,18
2020-03-22,13,6,18
2020-03-23,15,6,18
2020-03-24,16,6,18
2020-03-25,16,6,19
2020-03-26,16,6,19
2020-03-27,15,6,20
2020-03-28,16,7,19
2020-03-29,18,7,19
2020-03-30,17,8,20
2020-03-31,17,8,22
2020-04-01,17,9,23
2020-04-02,20,9,23
2020-04-03,24,9,23
2020-04-04,26,9,23
2020-04-05,27,9,23
2020-04-06,30,9,24
2020-04-07,29,11,25
2020-04-08,32,11,25
2020-04-09,34,14,25
2020-04-10,39,14,26
2020-04-11,44,14,27
2020-04-12,48,14,28
2020-04-13,50,15,30
2020-04-14,47,16,35
2020-04-15,48,17,38
2020-04-16,50,17,40
2020-04-17,52,18,41
2020-04-18,55,18,41
2020-04-19,55,19,42
2020-04-20,51,19,48
2020-04-21,51,19,51
2020-04-21,51,19,51
2020-04-22,53,22,51
2020-04-23,56,23,52
2020-04-24,57,23,55
2020-04-25,57,23,58
2020-04-26,57,25,58
2020-04-27,55,25,67
2020-04-28,54,25,72
2020-04-29,54,25,72
2020-04-30,50,26,76
2020-05-01,46,28,78
2020-05-02,47,30,77
2020-05-03,44,31,79
2020-05-04,42,31,81
2020-05-05,41,31,82
2020-05-06,40,31,83
2020-05-07,36,31,87
2020-05-08,34,33,89
2020-05-09,34,33,90
2020-05-10,34,33,90
2020-05-11,34,33,91
2020-05-12,34,33,91
2020-05-13,34,33,91
2020-05-14,34,33,91
