jis_code,prefecture,capital,region,major_island,prefecture_en,capital_en,region_en,major_island_en,capital_latitude,capital_longitude
01,北海道,札幌市,北海道,北海道,Hokkaido,Sapporo-shi,Hokkaido,Hokkaido,43.0620833333333,141.354361111111
02,青森県,青森市,東北,本州,Aomori-ken,Aomori-shi,Tohoku,Honshu,40.822,140.747222222222
03,岩手県,盛岡市,東北,本州,Iwate-ken,Morioka-shi,Tohoku,Honshu,39.7019722222222,141.154388888889
04,宮城県,仙台市,東北,本州,Miyagi-ken,Sendai-shi,Tohoku,Honshu,38.2681111111111,140.869333333333
05,秋田県,秋田市,東北,本州,Akita-ken,Akita-shi,Tohoku,Honshu,39.71975,140.102222222222
06,山形県,山形市,東北,本州,Yamagata-ken,Yamagata-shi,Tohoku,Honshu,38.2553888888889,140.339527777778
07,福島県,福島市,東北,本州,Fukushima-ken,Fukushima-shi,Tohoku,Honshu,37.7608888888889,140.473361111111
08,茨城県,水戸市,関東,本州,Ibaraki-ken,Mito-shi,Kanto,Honshu,36.3658333333333,140.471111111111
09,栃木県,宇都宮市,関東,本州,Tochigi-ken,Utsunomiya-shi,Kanto,Honshu,36.5550277777778,139.882805555556
10,群馬県,前橋市,関東,本州,Gunma-ken,Maebashi-shi,Kanto,Honshu,36.3893611111111,139.063305555556
11,埼玉県,さいたま市,関東,本州,Saitama-ken,Saitama-shi,Kanto,Honshu,35.8616111111111,139.645333333333
12,千葉県,千葉市,関東,本州,Chiba-ken,Chiba-shi,Kanto,Honshu,35.6073333333333,140.106333333333
13,東京都,新宿区 （東京23区）,関東,本州,Tokyo-to,Shinjuku-ku,Kanto,Honshu,35.6938333333333,139.703305555556
14,神奈川県,横浜市,関東,本州,Kanagawa-ken,Yokohama-shi,Kanto,Honshu,35.4437222222222,139.638111111111
15,新潟県,新潟市,中部,本州,Niigata-ken,Niigata-shi,Chubu,Honshu,37.9161111111111,139.036472222222
16,富山県,富山市,中部,本州,Toyama-ken,Toyama-shi,Chubu,Honshu,36.6958611111111,137.213611111111
17,石川県,金沢市,中部,本州,Ishikawa-ken,Kanazawa-shi,Chubu,Honshu,36.561,136.656555555556
18,福井県,福井市,中部,本州,Fukui-ken,Fukui-shi,Chubu,Honshu,36.064,136.219555555556
19,山梨県,甲府市,中部,本州,Yamanashi-ken,Kofu-shi,Chubu,Honshu,35.6621388888889,138.56825
20,長野県,長野市,中部,本州,Nagano-ken,Nagano-shi,Chubu,Honshu,36.6485277777778,138.194222222222
21,岐阜県,岐阜市,中部,本州,Gifu-ken,Gifu-shi,Chubu,Honshu,35.4233333333333,136.760611111111
22,静岡県,静岡市,中部,本州,Shizuoka-ken,Shizuoka-shi,Chubu,Honshu,34.9755833333333,138.382555555556
23,愛知県,名古屋市,中部,本州,Aichi-ken,Nagoya-shi,Chubu,Honshu,35.1813611111111,136.906277777778
24,三重県,津市,近畿,本州,Mie-ken,Tsu-shi,Kansai,Honshu,34.7186388888889,136.5055
25,滋賀県,大津市,近畿,本州,Shiga-ken,Otsu-shi,Kansai,Honshu,35.01775,135.854805555556
26,京都府,京都市,近畿,本州,Kyoto-fu,Kyoto-shi,Kansai,Honshu,35.0116111111111,135.768111111111
27,大阪府,大阪市,近畿,本州,Osaka-fu,Osaka-shi,Kansai,Honshu,34.6937222222222,135.502361111111
28,兵庫県,神戸市,近畿,本州,Hyogo-ken,Kobe-shi,Kansai,Honshu,34.6894444444445,135.19575
29,奈良県,奈良市,近畿,本州,Nara-ken,Nara-shi,Kansai,Honshu,34.6851666666667,135.804833333333
30,和歌山県,和歌山市,近畿,本州,Wakayama-ken,Wakayama-shi,Kansai,Honshu,34.2304722222222,135.170861111111
31,鳥取県,鳥取市,中国,本州,Tottori-ken,Tottori-shi,Chugoku,Honshu,35.5009722222222,134.235222222222
32,島根県,松江市,中国,本州,Shimane-ken,Matsue-shi,Chugoku,Honshu,35.4680555555556,133.048666666667
33,岡山県,岡山市,中国,本州,Okayama-ken,Okayama-shi,Chugoku,Honshu,34.65525,133.91975
34,広島県,広島市,中国,本州,Hiroshima-ken,Hiroshima-shi,Chugoku,Honshu,34.3851944444444,132.455194444444
35,山口県,山口市,中国,本州,Yamaguchi-ken,Yamaguchi-shi,Chugoku,Honshu,34.1780555555556,131.473694444444
36,徳島県,徳島市,四国,四国,Tokushima-ken,Tokushima-shi,Shikoku,Shikoku,34.0702777777778,134.554916666667
37,香川県,高松市,四国,四国,Kagawa-ken,Takamatsu-shi,Shikoku,Shikoku,34.3427777777778,134.046444444444
38,愛媛県,松山市,四国,四国,Ehime-ken,Matsuyama-shi,Shikoku,Shikoku,33.8392222222222,132.765527777778
39,高知県,高知市,四国,四国,Kochi-ken,Kochi-shi,Shikoku,Shikoku,33.5588055555556,133.531111111111
40,福岡県,福岡市,九州,九州,Fukuoka-ken,Fukuoka-shi,Kyushu,Kyushu,33.5900833333333,130.401611111111
41,佐賀県,佐賀市,九州,九州,Saga-ken,Saga-shi,Kyushu,Kyushu,33.2635277777778,130.300777777778
42,長崎県,長崎市,九州,九州,Nagasaki-ken,Nagasaki-shi,Kyushu,Kyushu,32.7502777777778,129.877777777778
43,熊本県,熊本市,九州,九州,Kumamoto-ken,Kumamoto-shi,Kyushu,Kyushu,32.8030555555556,130.707833333333
44,大分県,大分市,九州,九州,Oita-ken,Oita-shi,Kyushu,Kyushu,33.2395277777778,131.609194444444
45,宮崎県,宮崎市,九州,九州,Miyazaki-ken,Miyazaki-shi,Kyushu,Kyushu,31.9076944444445,131.420305555556
46,鹿児島県,鹿児島市,九州,九州,Kagoshima-ken,Kagoshima-shi,Kyushu,Kyushu,31.5966666666667,130.557305555556
47,沖縄県,那覇市,沖縄,琉球,Okinawa-ken,Naha-shi,Kyushu,Ryukyu Islands,26.2124166666667,127.679083333333
