region,date,response,type
北海道,20200228,独自の緊急事態宣言発出,start
北海道,20200319,独自の緊急事態宣言終了,end
東京都,20200327,週末及び夜間の不要不急な外出自粛要請,
大阪府,20200319,大阪兵庫の両県の間の不要不急の往来を自粛要請,
兵庫県,20200319,大阪兵庫の両県の間の不要不急の往来を自粛要請,
愛知県,20200410,独自の緊急事態宣言発出,start
岐阜県,20200410,独自の緊急事態宣言発出,start
三重県,20200410,独自の緊急事態宣言発出,start
石川県,20200413,独自の緊急事態宣言発出,start
福井県,20200414,独自の緊急事態宣言発出,start
香川県,20200414,独自の緊急事態宣言発出,start
東京都,20200407,緊急事態宣言発出,start
神奈川県,20200407,緊急事態宣言発出,start
埼玉県,20200407,緊急事態宣言発出,start
千葉県,20200407,緊急事態宣言発出,start
大阪府,20200407,緊急事態宣言発出,start
兵庫県,20200407,緊急事態宣言発出,start
福岡県,20200407,緊急事態宣言発出,start
北海道,20200416,特別警戒都道府県とした,start
茨城県,20200416,特別警戒都道府県とした,start
岐阜県,20200416,特別警戒都道府県とした,start
愛知県,20200416,特別警戒都道府県とした,start
石川県,20200416,特別警戒都道府県とした,start
京都府,20200416,特別警戒都道府県とした,start
全国,20200227,全国の学校に休校要請,
東京都,20200324,オリンピックの延期を発表,
