country,date,new_tests,tests_cumulative,jhu_ID,source,country_name_id
Afghanistan,2020-03-03,59,59,Afghanistan,https://www.humanitarianresponse.info/fr/operations/afghanistan/document/afghanistan-flash-update-covid-19-daily-brief-no-6-3-mar-2020,Afghanistan
Afghanistan,2020-03-04,0,59,Afghanistan,https://www.humanitarianresponse.info/fr/operations/afghanistan/document/afghanistan-flash-update-covid-19-daily-brief-no-7-4-mar-2020,Afghanistan
Afghanistan,2020-03-05,22,81,Afghanistan,https://www.humanitarianresponse.info/fr/operations/afghanistan/document/afghanistan-flash-update-covid-19-daily-brief-no-8-5-mar-2020,Afghanistan
Afghanistan,2020-03-06,0,81,Afghanistan,"",Afghanistan
Afghanistan,2020-03-07,3,84,Afghanistan,https://www.humanitarianresponse.info/fr/operations/afghanistan/document/afghanistan-flash-update-covid-19-daily-brief-no-9-7-mar-2020,Afghanistan
Afghanistan,2020-03-08,0,84,Afghanistan,"",Afghanistan
Afghanistan,2020-03-09,41,125,Afghanistan,https://www.humanitarianresponse.info/fr/operations/afghanistan/document/afghanistan-flash-update-covid-19-daily-brief-no-10-9-mar-2020,Afghanistan
Afghanistan,2020-03-10,17,142,Afghanistan,https://tolonews.com/afghanistan/5-positive-coronavirus-cases-reported-afghanistan,Afghanistan
Afghanistan,2020-03-11,17,159,Afghanistan,https://www.humanitarianresponse.info/fr/operations/afghanistan/document/afghanistan-flash-update-covid-19-daily-brief-no-11-11-mar-2020,Afghanistan
Afghanistan,2020-03-12,0,159,Afghanistan,https://www.humanitarianresponse.info/fr/operations/afghanistan/document/afghanistan-flash-update-covid-19-daily-brief-no-12-12-mar-2020,Afghanistan
Afghanistan,2020-03-13,0,159,Afghanistan,"",Afghanistan
Afghanistan,2020-03-14,22,181,Afghanistan,https://www.humanitarianresponse.info/fr/operations/afghanistan/document/afghanistan-flash-update-covid-19-daily-brief-no-13-14-mar-2020,Afghanistan
Afghanistan,2020-03-15,0,181,Afghanistan,"",Afghanistan
