県名,市名,地域名,緯度経度,3月31日,4月1日,4月2日,4月3日,4月4日,4月5日,4月6日,4月7日,4月8日,4月9日,4月10日,4月11日,4月12日,4月13日,4月14日,4月15日,4月16日,4月17日,4月18日,4月19日,4月20日,4月21日,4月22日,4月23日,4月24日,4月25日,4月26日,4月27日,4月28日,4月29日,4月30日,5月1日,5月2日,5月3日,5月4日,5月5日,5月6日,5月7日,5月8日,5月9日
東京都,千代田区,東京都千代田区,"35.6940,139.7536",3,3,4,4,5,6,7,9,9,9,10,10,11,12,12,16,18,19,19,19,19,19,22,22,23,23,23,23,24,24,24,27,28,30,31,36,36,36,36,36
東京都,中央区,東京都中央区,"35.6707,139.7719",19,19,19,20,21,25,28,29,31,31,33,35,36,39,51,53,56,58,65,67,68,70,73,74,79,79,80,84,87,87,87,88,89,89,90,93,93,93,93,93
東京都,港区,東京都港区,"35.6581,139.7516",39,40,50,58,67,83,87,89,107,126,143,155,158,163,168,172,179,197,208,212,215,224,238,242,251,251,261,261,264,266,268,270,273,285,289,292,292,292,292,292
東京都,新宿区,東京都新宿区,"35.6938,139.7035",22,30,36,38,39,60,72,80,84,99,133,139,164,177,180,187,205,219,227,227,255,259,260,267,279,282,289,296,299,299,304,311,323,329,336,338,353,353,358,362
東京都,文京区,東京都文京区,"35.7081,139.7522",4,4,4,6,7,8,8,10,12,16,20,22,23,23,26,28,36,39,41,45,46,50,51,53,54,57,59,59,60,60,60,61,62,63,70,75,76,78,79,79
東京都,台東区,東京都台東区,"35.7126,139.7800",15,19,23,25,27,29,31,32,35,40,42,46,47,47,49,49,53,53,55,59,59,59,59,60,64,65,65,65,66,66,66,74,75,75,75,76,76,76,77,77
東京都,墨田区,東京都墨田区,"35.7107,139.8015",5,5,7,10,11,11,11,14,14,21,24,25,26,28,35,36,47,48,51,57,60,64,67,74,78,85,86,87,93,95,95,113,116,116,116,121,121,121,125,127
東京都,江東区,東京都江東区,"35.6729,139.8174",10,12,12,13,14,22,22,23,26,39,44,51,51,52,56,57,59,65,68,73,75,81,85,88,93,95,101,101,104,105,106,113,119,126,128,132,135,136,138,138
東京都,品川区,東京都品川区,"35.6092,139.7302",24,24,29,30,38,41,41,49,56,56,70,84,90,94,104,104,111,123,130,132,138,141,145,150,153,155,156,156,161,167,167,169,170,174,177,178,178,178,178,179
東京都,目黒区,東京都目黒区,"35.6415,139.6982",21,23,29,34,40,42,44,49,51,54,56,58,63,72,76,80,83,92,94,97,101,102,102,103,104,109,109,115,115,115,121,123,126,128,129,130,131,135,135,135
東京都,大田区,東京都大田区,"35.5613,139.7161",15,16,18,19,28,37,44,45,51,52,58,65,66,67,71,77,79,79,90,96,97,100,109,120,138,140,140,140,142,146,148,153,177,191,197,197,197,197,200,202
東京都,世田谷区,東京都世田谷区,"35.6466,139.6532",44,54,67,79,93,104,113,118,124,147,173,191,195,205,234,243,247,259,277,293,305,314,317,326,338,349,358,366,377,379,384,393,401,406,414,414,415,417,424,425
東京都,渋谷区,東京都渋谷区,"35.6618,139.7041",18,21,24,26,32,37,39,41,49,53,64,69,71,72,81,89,94,105,113,118,119,132,133,138,142,145,147,149,152,153,153,154,158,160,160,163,164,165,167,171
東京都,中野区,東京都中野区,"35.7074,139.6638",15,19,19,24,29,33,41,43,46,50,53,62,66,67,70,77,79,82,83,90,90,93,136,145,147,148,148,151,152,155,155,158,165,166,173,173,173,174,174,176
東京都,杉並区,東京都杉並区,"35.6996,139.6364",28,30,34,37,44,56,60,67,76,77,85,92,92,97,107,115,120,127,134,145,146,154,158,161,165,173,176,177,182,183,183,192,199,202,215,219,221,221,221,222
東京都,豊島区,東京都豊島区,"35.7261,139.7166",9,10,13,14,17,20,20,27,31,39,45,49,49,49,62,65,71,79,88,88,88,93,96,104,108,109,109,109,116,116,116,123,124,124,127,128,128,131,131,134
東京都,北区,東京都北区,"35.7528,139.7335",4,7,7,7,9,10,10,11,13,16,17,19,20,23,30,30,34,35,44,45,47,51,53,55,60,61,61,61,68,68,68,74,74,75,75,76,76,80,83,86
