日付,都道府県略称,陽性者数,検査人数
20200324,北海道,162,1775
20200324,青森,2,83
20200324,岩手,0,37
20200324,宮城,1,161
20200324,秋田,2,121
20200324,山形,0,145
20200324,福島,2,157
20200324,茨城,5,654
20200324,栃木,4,297
20200324,群馬,11,202
20200324,埼玉,51,875
20200324,千葉,47,31
20200324,東京,158,1848
20200324,神奈川,75,※1
20200324,新潟,26,786
20200324,富山,0,62
20200324,石川,8,181
20200324,福井,1,102
20200324,山梨,2,358
20200324,長野,4,336
20200324,岐阜,8,304
20200324,静岡,3,581
20200324,愛知,145,1782
20200324,三重,9,344
20200324,滋賀,5,168
20200324,京都,24,857
20200324,大阪,134,2350
20200324,兵庫,112,1518
20200324,奈良,9,205
20200324,和歌山,17,1305
20200324,鳥取,0,126
20200324,島根,0,101
20200324,岡山,1,206
20200324,広島,3,631
20200324,山口,4,180
20200324,徳島,1,93
20200324,香川,1,157
20200324,愛媛,3,208
20200324,高知,12,281
20200324,福岡,6,689
20200324,佐賀,1,111
20200324,長崎,1,246
20200324,熊本,7,521
20200324,大分,17,356
20200324,宮崎,3,197
20200324,鹿児島,0,193
20200324,沖縄,3,263
20200325,北海道,163,1794
20200325,青森,2,85
20200325,岩手,0,36
20200325,宮城,1,162
20200325,秋田,2,200
20200325,山形,0,147
20200325,福島,2,164
20200325,茨城,5,576
20200325,栃木,6,299
20200325,群馬,13,209
20200325,埼玉,58,898
20200325,千葉,48,39
20200325,東京,172,2013
20200325,神奈川,80,69
20200325,新潟,28,812
20200325,富山,0,67
20200325,石川,8,192
20200325,福井,1,114
20200325,山梨,4,370
20200325,長野,5,339
20200325,岐阜,12,317
20200325,静岡,3,584
20200325,愛知,148,1895
20200325,三重,9,368
20200325,滋賀,5,173
20200325,京都,26,930
20200325,大阪,142,169
20200325,兵庫,115,1607
20200325,奈良,9,214
20200325,和歌山,17,1316
20200325,鳥取,0,129
20200325,島根,0,105
20200325,岡山,1,219
20200325,広島,3,656
20200325,山口,4,192
20200325,徳島,1,96
20200325,香川,1,160
20200325,愛媛,3,215
20200325,高知,12,307
20200325,福岡,9,703
20200325,佐賀,1,115
20200325,長崎,1,253
20200325,熊本,7,543
20200325,大分,18,743
20200325,宮崎,3,205
20200325,鹿児島,0,196
20200325,沖縄,4,271
20200326,北海道,167,1821
20200326,青森,8,102
20200326,岩手,0,41
20200326,宮城,1,175
20200326,秋田,2,204
20200326,山形,0,156
20200326,福島,2,167
20200326,茨城,9,656
20200326,栃木,7,320
20200326,群馬,13,231
20200326,埼玉,59,901
20200326,千葉,53,100
20200326,東京,218,2087
20200326,神奈川,84,74
20200326,新潟,29,845
20200326,富山,0,69
20200326,石川,8,193
20200326,福井,2,116
20200326,山梨,4,383
20200326,長野,5,339
20200326,岐阜,13,325
20200326,静岡,3,611
20200326,愛知,154,1987
20200326,三重,9,380
20200326,滋賀,5,176
20200326,京都,30,967
20200326,大阪,150,250
20200326,兵庫,116,1855
20200326,奈良,9,225
20200326,和歌山,17,1374
20200326,鳥取,0,134
20200326,島根,0,106
20200326,岡山,1,233
20200326,広島,3,687
20200326,山口,5,196
20200326,徳島,1,99
20200326,香川,1,168
20200326,愛媛,3,219
20200326,高知,12,313
20200326,福岡,9,747
20200326,佐賀,1,121
20200326,長崎,2,266
20200326,熊本,7,567
20200326,大分,25,1171
20200326,宮崎,3,222
20200326,鹿児島,0,208
20200326,沖縄,4,271
20200327,北海道,168,1929
20200327,青森,6,116
20200327,岩手,0,44
20200327,宮城,2,180
20200327,秋田,2,207
20200327,山形,0,165
20200327,福島,2,177
20200327,茨城,10,716
20200327,栃木,10,343
20200327,群馬,14,241
20200327,埼玉,66,1033
20200327,千葉,56,108
20200327,東京,265,2182
20200327,神奈川,89,218
20200327,新潟,29,920
20200327,富山,0,69
20200327,石川,8,195
20200327,福井,6,119
20200327,山梨,4,401
20200327,長野,5,371
20200327,岐阜,16,374
20200327,静岡,3,645
20200327,愛知,157,2204
20200327,三重,9,387
20200327,滋賀,6,138
20200327,京都,32,996
20200327,大阪,157,362
20200327,兵庫,118,2031
20200327,奈良,9,231
20200327,和歌山,17,1405
20200327,鳥取,0,141
20200327,島根,0,109
20200327,岡山,1,243
20200327,広島,4,722
20200327,山口,6,210
20200327,徳島,1,104
20200327,香川,1,191
20200327,愛媛,3,223
20200327,高知,12,314
20200327,福岡,11,777
20200327,佐賀,1,124
20200327,長崎,2,279
20200327,熊本,8,595
