検査日時,実施数,陽性数,陰性数
2022年8月3日,0,0,0
2022年8月2日,1292,407,885
2022年8月1日,1902,1798,104
2022年7月31日,443,388,55
2022年7月30日,1187,904,283
2022年7月29日,1778,1261,517
2022年7月28日,"1,669",1386,283
2022年7月27日,"1,690","1,522",168
2022年7月26日,"1,579","1,319",260
2022年7月25日,"2,256","2,012",244
2022年7月24日,499,472,27
2022年7月23日,1028,912,116
2022年7月22日,"1,815","1,374",441
2022年7月21日,"1,660","1,539",121
2022年7月20日,"1,967","1,810",157
2022年7月19日,"2,189","1,601",588
2022年7月18日,902,512,390
2022年7月17日,604,590,14
2022年7月16日,837,757,80
2022年7月15日,"1,666","1,060",606
2022年7月14日,"1,519","1,013",506
2022年7月13日,"1,514",979,535
2022年7月12日,"1,471",985,486
2022年7月11日,"1,719",886,833
2022年7月10日,451,367,84
2022年7月9日,620,474,146
2022年7月8日,"1,240",692,548
2022年7月7日,"1,084",552,532
2022年7月6日,"1,020",454,566
2022年7月5日,"1,113",539,574
2022年7月4日,"1,228",386,842
2022年7月3日,339,168,171
2022年7月2日,390,228,162
2022年7月1日,766,307,459
2022年6月30日,639,231,408
2022年6月29日,740,256,484
2022年6月28日,717,298,419
2022年6月27日,880,225,655
2022年6月26日,286,105,181
2022年6月25日,360,160,200
2022年6月24日,707,237,470
2022年6月23日,765,286,479
2022年6月22日,823,246,577
2022年6月21日,741,252,489
2022年6月20日,"1,046",250,796
2022年6月19日,198,83,115
2022年6月18日,363,163,200
2022年6月17日,795,247,548
2022年6月16日,699,244,455
2022年6月15日,720,199,521
2022年6月14日,703,216,487
2022年6月13日,960,227,733
2022年6月12日,197,88,109
2022年6月11日,418,131,287
2022年6月10日,698,170,528
2022年6月9日,657,204,453
2022年6月8日,728,192,536
2022年6月7日,695,189,506
2022年6月6日,908,194,714
2022年6月5日,225,88,137
2022年6月4日,314,134,180
2022年6月3日,728,177,551
2022年6月2日,703,200,503
2022年6月1日,741,241,500
2022年5月31日,773,220,553
2022年5月30日,"1,010",208,802
2022年5月29日,182,84,98
2022年5月28日,359,162,197
2022年5月27日,741,235,506
2022年5月26日,738,204,534
2022年5月25日,828,292,536
2022年5月24日,841,276,565
2022年5月23日,"1,105",293,812
2022年5月22日,224,117,107
2022年5月21日,450,204,246
2022年5月20日,852,359,493
2022年5月19日,822,426,396
2022年5月18日,"1,035",364,671
2022年5月17日,"1,040",373,667
2022年5月16日,"1,216",386,830
2022年5月15日,216,136,80
2022年5月14日,493,288,205
2022年5月13日,920,351,569
2022年5月12日,"1,006",384,622
2022年5月11日,"1,005",363,642
2022年5月10日,"1,013",414,599
2022年5月9日,"1,320",448,872
2022年5月8日,376,250,126
2022年5月7日,510,420,90
2022年5月6日,"1,436",399,"1,037"
2022年5月5日,397,132,265
2022年5月4日,390,283,107
2022年5月3日,339,273,66
2022年5月2日,"1,375",310,"1,065"
2022年5月1日,394,143,251
2022年4月30日,591,255,336
2022年4月29日,395,203,192
2022年4月28日,"1,128",357,771
2022年4月27日,"1,167",389,778
2022年4月26日,"1,102",473,629
2022年4月25日,"1,552",397,"1,155"
2022年4月24日,231,231,0
2022年4月23日,257,257,0
2022年4月22日,"1,172",407,765
2022年4月21日,"1,051",426,625
2022年4月20日,994,401,593
2022年4月19日,"1,102",405,697
2022年4月18日,"1,258",440,818
2022年4月17日,239,133,106
2022年4月16日,509,256,253
2022年4月15日,959,413,546
2022年4月14日,944,457,487
2022年4月13日,991,383,608
2022年4月12日,"1,118",514,604
2022年4月11日,"1,479",460,"1,019"
2022年4月10日,324,255,69
2022年4月9日,553,303,250
2022年4月8日,"1,190",548,642
2022年4月7日,946,501,445
2022年4月6日,"1,101",540,561
2022年4月5日,"1,002",564,438
2022年4月4日,"1,421",532,889
2022年4月3日,401,203,198
2022年4月2日,519,286,233
2022年4月1日,995,471,524
2022年3月31日,"1,051",478,573
2022年3月30日,"1,203",570,633
2022年3月29日,"1,136",554,582
2022年3月28日,"1,467",487,980
2022年3月27日,253,241,12
2022年3月26日,521,421,100
2022年3月25日,"1,125",503,622
2022年3月24日,"1,130",590,540
2022年3月23日,"1,243",669,574
2022年3月22日,"1,299",568,731
2022年3月21日,517,146,371
2022年3月20日,350,345,5
2022年3月19日,620,378,242
2022年3月18日,"1,181",520,661
2022年3月17日,"1,190",651,539
2022年3月16日,"1,320",587,733
2022年3月15日,"1,258",584,674
2022年3月14日,"1,739",559,"1,180"
2022年3月13日,377,296,81
2022年3月12日,615,394,221
2022年3月11日,"1,179",469,710
2022年3月10日,"1,136",561,575
2022年3月9日,"1,439",532,907
2022年3月8日,"1,381",623,758
2022年3月7日,"1,892",534,"1,358"
2022年3月6日,369,226,143
2022年3月5日,934,404,530
2022年3月4日,"1,262",508,754
2022年3月3日,"1,344",524,820
2022年3月2日,"1,640",475,"1,165"
2022年3月1日,"1,401",563,838
