全国地方公共団体コード,都道府県名,市区町村名,受付_年月日,相談件数.対応.
20001,青森県,,2022年5月29日,97
20001,青森県,,2022年5月28日,90
20001,青森県,,2022年5月27日,82
20001,青森県,,2022年5月26日,103
20001,青森県,,2022年5月25日,115
20001,青森県,,2022年5月24日,105
20001,青森県,,2022年5月23日,147
20001,青森県,,2022年5月22日,119
20001,青森県,,2022年5月21日,146
20001,青森県,,2022年5月20日,115
20001,青森県,,2022年5月19日,115
20001,青森県,,2022年5月18日,145
20001,青森県,,2022年5月17日,131
20001,青森県,,2022年5月16日,159
20001,青森県,,2022年5月15日,148
20001,青森県,,2022年5月14日,159
20001,青森県,,2022年5月13日,143
20001,青森県,,2022年5月12日,160
20001,青森県,,2022年5月11日,120
20001,青森県,,2022年5月10日,160
20001,青森県,,2022年5月9日,198
20001,青森県,,2022年5月8日,173
20001,青森県,,2022年5月7日,218
20001,青森県,,2022年5月6日,204
20001,青森県,,2022年5月5日,180
20001,青森県,,2022年5月4日,188
20001,青森県,,2022年5月3日,158
20001,青森県,,2022年5月2日,157
20001,青森県,,2022年5月1日,156
20001,青森県,,2022年4月30日,168
20001,青森県,,2022年4月29日,140
20001,青森県,,2022年4月28日,155
20001,青森県,,2022年4月27日,156
20001,青森県,,2022年4月26日,148
20001,青森県,,2022年4月25日,183
20001,青森県,,2022年4月24日,162
20001,青森県,,2022年4月23日,176
20001,青森県,,2022年4月22日,168
20001,青森県,,2022年4月21日,161
20001,青森県,,2022年4月20日,167
20001,青森県,,2022年4月19日,171
20001,青森県,,2022年4月18日,132
20001,青森県,,2022年4月17日,164
20001,青森県,,2022年4月16日,159
20001,青森県,,2022年4月15日,135
20001,青森県,,2022年4月14日,136
20001,青森県,,2022年4月13日,181
20001,青森県,,2022年4月12日,172
20001,青森県,,2022年4月11日,209
20001,青森県,,2022年4月10日,205
20001,青森県,,2022年4月9日,196
20001,青森県,,2022年4月8日,166
20001,青森県,,2022年4月7日,154
20001,青森県,,2022年4月6日,163
20001,青森県,,2022年4月5日,164
20001,青森県,,2022年4月4日,183
20001,青森県,,2022年4月3日,180
20001,青森県,,2022年4月2日,162
20001,青森県,,2022年4月1日,136
20001,青森県,,2022年3月31日,157
20001,青森県,,2022年3月30日,154
20001,青森県,,2022年3月29日,154
20001,青森県,,2022年3月28日,227
20001,青森県,,2022年3月27日,192
20001,青森県,,2022年3月26日,196
20001,青森県,,2022年3月25日,192
20001,青森県,,2022年3月24日,163
20001,青森県,,2022年3月23日,161
20001,青森県,,2022年3月22日,221
20001,青森県,,2022年3月21日,172
20001,青森県,,2022年3月20日,196
20001,青森県,,2022年3月19日,196
20001,青森県,,2022年3月18日,204
20001,青森県,,2022年3月17日,147
20001,青森県,,2022年3月16日,176
20001,青森県,,2022年3月15日,179
20001,青森県,,2022年3月14日,229
20001,青森県,,2022年3月13日,203
20001,青森県,,2022年3月12日,191
20001,青森県,,2022年3月11日,170
20001,青森県,,2022年3月10日,175
20001,青森県,,2022年3月9日,152
20001,青森県,,2022年3月8日,152
20001,青森県,,2022年3月7日,179
20001,青森県,,2022年3月6日,180
20001,青森県,,2022年3月5日,175
20001,青森県,,2022年3月4日,162
20001,青森県,,2022年3月3日,200
20001,青森県,,2022年3月2日,151
20001,青森県,,2022年3月1日,160
20001,青森県,,2022年2月28日,212
20001,青森県,,2022年2月27日,174
20001,青森県,,2022年2月26日,208
20001,青森県,,2022年2月25日,168
20001,青森県,,2022年2月24日,155
20001,青森県,,2022年2月23日,157
20001,青森県,,2022年2月22日,194
20001,青森県,,2022年2月21日,214
20001,青森県,,2022年2月20日,184
20001,青森県,,2022年2月19日,172
20001,青森県,,2022年2月18日,165
20001,青森県,,2022年2月17日,163
20001,青森県,,2022年2月16日,158
20001,青森県,,2022年2月15日,160
20001,青森県,,2022年2月14日,202
