全国地方公共団体コード,都道府県名,受付_年月日,相談件数
20001,青森県,2020年3月23日,48
20001,青森県,2020年3月24日,46
20001,青森県,2020年3月25日,213
20001,青森県,2020年3月26日,246
20001,青森県,2020年3月27日,207
20001,青森県,2020年3月28日,55
20001,青森県,2020年3月29日,69
20001,青森県,2020年3月30日,293
20001,青森県,2020年3月31日,326
20001,青森県,2020年4月1日,347
20001,青森県,2020年4月2日,363
20001,青森県,2020年4月3日,792
20001,青森県,2020年4月4日,227
20001,青森県,2020年4月5日,116
20001,青森県,2020年4月6日,521
20001,青森県,2020年4月7日,340
20001,青森県,2020年4月8日,381
20001,青森県,2020年4月9日,423
20001,青森県,2020年4月10日,434
20001,青森県,2020年4月11日,144
20001,青森県,2020年4月12日,96
20001,青森県,2020年4月13日,555
20001,青森県,2020年4月14日,360
20001,青森県,2020年4月15日,347
20001,青森県,2020年4月16日,332
20001,青森県,2020年4月17日,294
20001,青森県,2020年4月18日,82
20001,青森県,2020年4月19日,51
20001,青森県,2020年4月20日,373
20001,青森県,2020年4月21日,254
20001,青森県,2020年4月22日,205
20001,青森県,2020年4月23日,214
20001,青森県,2020年4月24日,228
