date,相談件数
2020-01-31,114
2020-02-01,0
2020-02-02,0
2020-02-03,136
2020-02-04,107
2020-02-05,85
2020-02-06,75
2020-02-07,72
2020-02-08,0
2020-02-09,0
2020-02-10,76
2020-02-11,0
2020-02-12,55
2020-02-13,77
2020-02-14,154
2020-02-15,0
2020-02-16,0
2020-02-17,295
2020-02-18,307
2020-02-19,256
2020-02-20,230
2020-02-21,281
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,505
2020-02-26,451
2020-02-27,456
2020-02-28,396
2020-02-29,0
2020-03-01,0
2020-03-02,585
2020-03-03,440
2020-03-04,422
2020-03-05,369
2020-03-06,396
2020-03-07,0
2020-03-08,0
2020-03-09,514
2020-03-10,387
2020-03-11,303
2020-03-12,319
2020-03-13,325
2020-03-14,0
2020-03-15,0
2020-03-16,442
2020-03-17,593
2020-03-18,809
2020-03-19,1058
2020-03-20,204
2020-03-21,125
2020-03-22,192
2020-03-23,688
2020-03-24,603
2020-03-25,681
2020-03-26,768
2020-03-27,803
2020-03-28,260
2020-03-29,259
2020-03-30,1234
2020-03-31,1006
2020-04-01,1199
2020-04-02,1368
2020-04-03,1389
2020-04-04,265
2020-04-05,278
2020-04-06,1722
2020-04-07,1638
2020-04-08,1485
2020-04-09,1441
2020-04-10,1313
2020-04-11,169
2020-04-12,257
2020-04-13,1804
2020-04-14,1316
2020-04-15,1357
2020-04-16,1396
2020-04-17,1350
2020-04-18,251
2020-04-19,245
2020-04-20,1739
2020-04-21,1375
2020-04-22,1261
2020-04-23,1032
2020-04-24,1219
2020-04-25,278
2020-04-26,264
2020-04-27,1205
2020-04-28,872
2020-04-29,294
2020-04-30,1092
2020-05-01,850
2020-05-02,287
2020-05-03,237
2020-05-04,298
2020-05-05,256
2020-05-06,307
2020-05-07,958
2020-05-08,662
2020-05-09,267
2020-05-10,251
2020-05-11,841
2020-05-12,594
2020-05-13,518
2020-05-14,519
2020-05-15,489
2020-05-16,165
2020-05-17,183
2020-05-18,509
2020-05-19,354
2020-05-20,337
2020-05-21,284
2020-05-22,238
2020-05-23,129
2020-05-24,139
2020-05-25,368
2020-05-26,286
2020-05-27,260
2020-05-28,224
2020-05-29,252
2020-05-30,102
2020-05-31,100
2020-06-01,294
2020-06-02,295
2020-06-03,321
2020-06-04,352
2020-06-05,334
2020-06-06,156
2020-06-07,110
2020-06-08,376
2020-06-09,226
2020-06-10,269
2020-06-11,318
2020-06-12,264
2020-06-13,91
2020-06-14,98
2020-06-15,312
2020-06-16,212
2020-06-17,196
2020-06-18,187
2020-06-19,189
2020-06-20,112
2020-06-21,88
2020-06-22,292
2020-06-23,219
2020-06-24,212
2020-06-25,236
2020-06-26,300
2020-06-27,114
2020-06-28,127
2020-06-29,365
2020-06-30,340
2020-07-01,349
2020-07-02,319
2020-07-03,380
2020-07-04,166
2020-07-05,123
2020-07-06,478
2020-07-07,362
2020-07-08,351
2020-07-09,383
2020-07-10,425
2020-07-11,174
2020-07-12,133
2020-07-13,579
2020-07-14,642
2020-07-15,521
2020-07-16,619
2020-07-17,618
2020-07-18,211
2020-07-19,190
2020-07-20,744
2020-07-21,615
2020-07-22,593
2020-07-23,236
2020-07-24,256
2020-07-25,210
2020-07-26,210
2020-07-27,803
2020-07-28,619
2020-07-29,733
2020-07-30,887
2020-07-31,946
2020-08-01,264
2020-08-02,232
2020-08-03,970
2020-08-04,705
2020-08-05,765
2020-08-06,895
2020-08-07,790
2020-08-08,236
2020-08-09,242
2020-08-10,286
2020-08-11,770
2020-08-12,654
2020-08-13,478
2020-08-14,488
2020-08-15,239
2020-08-16,216
2020-08-17,798
2020-08-18,604
2020-08-19,594
2020-08-20,569
2020-08-21,632
2020-08-22,185
2020-08-23,160
2020-08-24,642
2020-08-25,549
2020-08-26,547
2020-08-27,459
2020-08-28,499
2020-08-29,164
2020-08-30,188
2020-08-31,501
2020-09-01,414
2020-09-02,400
2020-09-03,407
2020-09-04,478
2020-09-05,164
2020-09-06,146
2020-09-07,466
2020-09-08,402
2020-09-09,324
2020-09-10,303
2020-09-11,373
2020-09-12,180
2020-09-13,144
2020-09-14,392
2020-09-15,330
2020-09-16,300
2020-09-17,293
2020-09-18,301
2020-09-19,117
2020-09-20,123
2020-09-21,136
2020-09-22,143
2020-09-23,357
2020-09-24,315
2020-09-25,324
2020-09-26,130
2020-09-27,101
2020-09-28,344
2020-09-29,291
2020-09-30,265
2020-10-01,253
2020-10-02,330
2020-10-03,98
2020-10-04,132
2020-10-05,331
2020-10-06,243
2020-10-07,253
2020-10-08,219
2020-10-09,261
2020-10-10,116
2020-10-11,136
2020-10-12,347
2020-10-13,255
2020-10-14,220
2020-10-15,207
2020-10-16,240
2020-10-17,82
2020-10-18,89
2020-10-19,305
2020-10-20,214
2020-10-21,196
2020-10-22,289
2020-10-23,265
2020-10-24,89
2020-10-25,46
2020-10-26,320
2020-10-27,206
2020-10-28,219
2020-10-29,262
2020-10-30,310
2020-10-31,76
2020-11-01,83
2020-11-02,408
2020-11-03,86
2020-11-04,322
2020-11-05,263
2020-11-06,275
2020-11-07,116
2020-11-08,102
2020-11-09,393
2020-11-10,326
2020-11-11,334
2020-11-12,418
2020-11-13,586
2020-11-14,186
2020-11-15,170
2020-11-16,747
2020-11-17,645
2020-11-18,759
2020-11-19,734
2020-11-20,763
2020-11-21,212
2020-11-22,189
2020-11-23,231
2020-11-24,1065
2020-11-25,898
2020-11-26,769
2020-11-27,787
2020-11-28,250
2020-11-29,201
2020-11-30,933
2020-12-01,893
2020-12-02,775
2020-12-03,688
2020-12-04,630
2020-12-05,117
2020-12-06,160
2020-12-07,744
2020-12-08,520
2020-12-09,560
2020-12-10,584
2020-12-11,583
2020-12-12,193
2020-12-13,158
2020-12-14,578
2020-12-15,550
2020-12-16,566
2020-12-17,574
2020-12-18,551
2020-12-19,174
2020-12-20,167
2020-12-21,648
2020-12-22,564
2020-12-23,549
2020-12-24,592
2020-12-25,598
2020-12-26,206
2020-12-27,243
2020-12-28,682
2020-12-29,306
2020-12-30,230
2020-12-31,192
