年月日,空知,石狩,後志,胆振,日高,渡島,檜山,上川,留萌,宗谷,オホーツク,十勝,釧路,根室,道外他,非公表,重複削除,日計,ここから右は北海道発表分のみ,年月日再掲,空知.道.,石狩.道.,後志.道.,胆振.道.,日高.道.,渡島.道.,檜山.道.,上川.道.,留萌.道.,宗谷.道.,オホーツク.道.,十勝.道.,釧路.道.,根室.道.,道外他.道.,日計.道.,備考
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"",2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-02-14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-02-19,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,"",2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-02-21,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,"",2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-02-22,0,2,0,2,0,3,0,1,0,0,1,0,0,1,0,0,0,10,"",2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-02-23,0,1,0,2,0,0,0,4,0,0,0,0,1,0,0,0,0,8,"",2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-02-24,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,"",2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-02-25,0,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,5,"",2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-02-26,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,4,"",2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-02-27,1,2,0,0,0,2,2,2,0,0,3,1,2,0,0,0,0,15,"",2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-02-28,1,4,0,0,0,0,1,2,0,0,2,0,2,0,0,0,0,12,"",2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-02-29,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"",2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-01,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,"",2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-02,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,5,"",2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-03,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"",2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-04,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3,"",2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
