公表_年月日,X10歳未満,X10歳代,X20歳代,X30歳代,X40歳代,X50歳代,X60歳代,X70歳代,X80歳代,X90歳代以上,非公表,重複削除,日計,ここから右は北海道発表分のみ,年月日再掲,X10歳未満.道.,X10歳代.道.,X20歳代.道.,X30歳代.道.,X40歳代.道.,X50歳代.道.,X60歳代.道.,X70歳代.道.,X80歳代.道.,X90歳代以上.道.,非公表.道.,日計.道.,備考
2020-01-28,0,0,0,0,1,0,0,0,0,0,0,0,1,"",2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-02-14,0,0,0,0,0,1,0,0,0,0,0,0,1,"",2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-02-19,0,0,0,0,2,0,1,0,0,0,0,0,3,"",2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-02-21,1,1,0,0,1,0,0,0,0,0,0,0,3,"",2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-02-22,0,1,0,0,0,4,1,3,1,0,0,0,10,"",2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-02-23,0,0,2,2,1,0,1,1,1,0,0,0,8,"",2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-02-24,0,0,1,0,0,2,0,1,0,0,0,0,4,"",2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-02-25,0,0,2,0,0,0,2,1,0,0,0,0,5,"",2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-02-26,0,0,0,0,1,0,0,2,0,0,1,0,4,"",2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-02-27,2,0,0,3,3,2,2,1,2,0,0,0,15,"",2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-02-28,1,0,0,0,1,0,7,1,2,0,0,0,12,"",2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-02-29,0,0,1,1,0,0,1,0,0,1,0,0,4,"",2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-01,0,0,1,0,1,0,0,0,0,0,0,0,2,"",2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-02,0,0,0,0,1,2,2,0,0,0,0,0,5,"",2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-03,0,0,0,1,0,0,1,0,0,0,0,0,2,"",2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-04,0,0,0,0,0,1,2,0,0,0,0,0,3,"",2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-05,0,0,0,0,0,0,1,0,0,0,0,0,1,"",2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-06,0,0,1,2,0,0,1,1,1,0,1,0,7,"",2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-07,0,0,0,0,1,2,4,1,0,0,0,0,8,"",2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-08,0,0,0,0,0,0,1,2,0,0,0,0,3,"",2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-09,0,0,0,0,0,4,1,2,0,0,0,0,7,"",2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-10,0,0,0,0,0,1,2,0,0,0,0,0,3,"",2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-11,0,0,0,1,0,2,2,2,0,0,0,0,7,"",2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-12,0,0,1,0,0,2,1,3,2,0,1,0,10,"",2020-03-12,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-13,0,0,1,0,0,6,2,3,1,0,1,0,14,"",2020-03-13,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-14,0,0,0,0,0,1,0,0,1,0,0,0,2,"",2020-03-14,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-15,1,0,0,0,0,1,0,0,2,0,0,0,4,"",2020-03-15,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-16,0,0,1,0,0,1,0,1,1,0,0,0,4,"",2020-03-16,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-18,0,0,1,0,0,0,0,0,1,0,0,0,2,"",2020-03-18,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-19,0,0,0,0,0,2,1,0,0,0,0,0,3,"",2020-03-19,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-20,0,0,0,0,0,1,0,0,0,0,0,0,1,"",2020-03-20,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-21,0,0,0,0,1,0,0,0,0,0,0,0,1,"",2020-03-21,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-22,0,0,0,0,1,0,2,0,0,0,0,0,3,"",2020-03-22,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-24,0,0,0,0,0,0,0,1,0,0,0,0,1,"",2020-03-24,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-25,0,0,0,1,1,2,0,0,0,0,0,0,4,"",2020-03-25,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-26,0,0,0,1,0,0,0,0,0,0,0,0,1,"",2020-03-26,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-27,0,0,0,0,0,1,0,0,0,0,0,0,1,"",2020-03-27,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-28,0,0,0,0,1,0,0,2,0,0,0,0,3,"",2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-29,0,0,0,1,0,0,1,2,0,0,0,0,4,"",2020-03-29,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-03-30,0,0,1,0,0,0,0,0,0,0,0,0,1,"",2020-03-30,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-04-01,1,0,1,0,1,1,1,0,0,0,0,0,5,"",2020-04-01,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-04-02,0,0,0,1,1,1,0,0,0,0,0,0,3,"",2020-04-02,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-04-03,0,0,0,0,2,1,0,0,0,1,1,0,5,"",2020-04-03,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-04-04,0,0,1,0,0,1,0,1,0,0,0,0,3,"",2020-04-04,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-04-05,0,0,0,1,0,0,0,0,0,0,0,0,1,"",2020-04-05,0,0,0,0,0,0,0,0,0,0,0,0,""
2020-04-07,0,0,1,0,0,2,0,1,0,0,0,0,4,"",2020-04-07,0,0,0,0,0,0,0,0,0,0,0,0,""
