年月日,現在患者数,現在患者数.前日比.,入院患者,入院患者.前日比.,宿泊療養施設入所者,宿泊療養施設入所者.前日比.,自宅療養者,自宅療養者.前日比.,施設療養者,施設療養者.前日比.,調整中,調整中.前日比.,確保病床数,確保病床数.うち重症.,備考
2020-01-28,1,0,,,,,,,,,,,,,""
2020-01-29,1,0,,,,,,,,,,,,,""
2020-01-30,1,0,,,,,,,,,,,,,""
2020-01-31,1,0,,,,,,,,,,,,,""
2020-02-01,1,0,,,,,,,,,,,,,""
2020-02-02,1,0,,,,,,,,,,,,,""
2020-02-03,1,0,,,,,,,,,,,,,""
2020-02-04,1,0,,,,,,,,,,,,,""
2020-02-05,1,0,,,,,,,,,,,,,""
2020-02-06,1,0,,,,,,,,,,,,,""
2020-02-07,1,0,,,,,,,,,,,,,""
2020-02-08,1,0,,,,,,,,,,,,,""
2020-02-09,1,0,,,,,,,,,,,,,""
2020-02-10,1,0,,,,,,,,,,,,,""
2020-02-11,1,0,,,,,,,,,,,,,""
2020-02-12,0,-1,,,,,,,,,,,,,""
2020-02-13,0,0,,,,,,,,,,,,,""
2020-02-14,1,1,,,,,,,,,,,,,""
2020-02-15,1,0,,,,,,,,,,,,,""
2020-02-16,1,0,,,,,,,,,,,,,""
2020-02-17,1,0,,,,,,,,,,,,,""
2020-02-18,1,0,,,,,,,,,,,,,""
2020-02-19,3,2,,,,,,,,,,,,,""
2020-02-20,4,1,,,,,,,,,,,,,""
2020-02-21,7,3,,,,,,,,,,,,,""
2020-02-22,16,9,,,,,,,,,,,,,""
2020-02-23,25,9,,,,,,,,,,,,,""
2020-02-24,29,4,,,,,,,,,,,,,""
2020-02-25,33,4,,,,,,,,,,,,,""
2020-02-26,37,4,,,,,,,,,,,,,""
2020-02-27,51,14,,,,,,,,,,,,,""
2020-02-28,62,11,,,,,,,,,,,,,""
2020-02-29,65,3,,,,,,,,,,,,,""
2020-03-01,61,-4,,,,,,,,,,,,,""
2020-03-02,62,1,,,,,,,,,,,,,""
2020-03-03,55,-7,,,,,,,,,,,,,""
2020-03-04,57,2,,,,,,,,,,,,,""
2020-03-05,54,-3,,,,,,,,,,,,,""
2020-03-06,55,1,,,,,,,,,,,,,""
2020-03-07,61,6,,,,,,,,,,,,,""
2020-03-08,57,-4,,,,,,,,,,,,,""
2020-03-09,62,5,,,,,,,,,,,,,""
2020-03-10,59,-3,,,,,,,,,,,,,""
2020-03-11,62,3,,,,,,,,,,,,,""
2020-03-12,71,9,,,,,,,,,,,,,""
2020-03-13,78,7,,,,,,,,,,,,,""
2020-03-14,82,4,,,,,,,,,,,,,""
2020-03-15,82,0,,,,,,,,,,,,,""
2020-03-16,80,-2,,,,,,,,,,,,,""
2020-03-17,74,-6,,,,,,,,,,,,,""
2020-03-18,75,1,,,,,,,,,,,,,""
2020-03-19,70,-5,,,,,,,,,,,,,""
2020-03-20,68,-2,,,,,,,,,,,,,""
2020-03-21,66,-2,,,,,,,,,,,,,""
2020-03-22,60,-6,,,,,,,,,,,,,""
