date,検査数,相談件数,陽性数,検査数累計,相談件数累計,陽性数累計
2020-01-26,1,0,0,1,0,0
2020-01-27,1,0,0,2,0,0
2020-01-28,1,0,0,3,0,0
2020-01-29,2,0,0,5,0,0
2020-01-30,1,0,0,6,0,0
2020-01-31,3,114,0,9,114,0
2020-02-01,1,0,0,10,114,0
2020-02-02,0,0,0,10,114,0
2020-02-03,0,136,0,10,250,0
2020-02-04,3,107,0,13,357,0
2020-02-05,1,85,0,14,442,0
2020-02-06,1,75,0,15,517,0
2020-02-07,1,72,0,16,589,0
2020-02-08,0,0,0,16,589,0
2020-02-09,0,0,0,16,589,0
2020-02-10,1,76,0,17,665,0
2020-02-11,0,0,0,17,665,0
2020-02-12,0,55,0,17,720,0
2020-02-13,1,77,0,18,797,0
2020-02-14,5,154,0,23,951,0
2020-02-15,5,0,0,28,951,0
2020-02-16,6,0,0,34,951,0
2020-02-17,14,295,0,48,1246,0
2020-02-18,6,307,0,54,1553,0
2020-02-19,6,256,0,60,1809,0
2020-02-20,13,230,0,73,2039,0
2020-02-21,14,281,0,87,2320,0
2020-02-22,10,0,0,97,2320,0
2020-02-23,5,0,0,102,2320,0
2020-02-24,3,0,0,105,2320,0
2020-02-25,14,505,0,119,2825,0
2020-02-26,16,451,0,135,3276,0
2020-02-27,27,456,0,162,3732,0
2020-02-28,29,396,0,191,4128,0
2020-02-29,27,0,0,218,4128,0
2020-03-01,9,0,0,227,4128,0
2020-03-02,18,585,0,245,4713,0
2020-03-03,19,440,0,264,5153,0
2020-03-04,29,422,0,293,5575,0
2020-03-05,21,369,0,314,5944,0
2020-03-06,31,396,0,345,6340,0
2020-03-07,23,0,0,368,6340,0
2020-03-08,12,0,0,380,6340,0
2020-03-09,13,514,0,393,6854,0
2020-03-10,31,387,0,424,7241,0
2020-03-11,25,303,0,449,7544,0
2020-03-12,22,319,0,471,7863,0
2020-03-13,28,325,0,499,8188,0
2020-03-14,16,0,0,515,8188,0
2020-03-15,5,0,0,520,8188,0
2020-03-16,12,442,0,532,8630,0
2020-03-17,18,593,1,550,9223,1
2020-03-18,24,809,1,574,10032,2
2020-03-19,32,1058,1,606,11090,3
2020-03-20,26,204,0,632,11294,3
2020-03-21,13,125,0,645,11419,3
2020-03-22,9,192,0,654,11611,3
2020-03-23,15,688,2,669,12299,5
2020-03-24,71,603,5,740,12902,10
2020-03-25,27,681,0,767,13583,10
2020-03-26,56,768,0,823,14351,10
2020-03-27,51,803,3,874,15154,13
2020-03-28,69,260,3,943,15414,16
2020-03-29,40,259,0,983,15673,16
2020-03-30,40,1234,4,1023,16907,20
2020-03-31,112,1006,4,1135,17913,24
2020-04-01,125,1199,18,1260,19112,42
2020-04-02,104,1368,2,1364,20480,44
2020-04-03,124,1389,10,1488,21869,54
2020-04-04,123,265,5,1611,22134,59
2020-04-05,44,278,5,1655,22412,64
2020-04-06,126,1722,7,1781,24134,71
2020-04-07,132,1638,6,1913,25772,77
2020-04-08,97,1485,0,2010,27257,77
2020-04-09,117,1441,4,2127,28698,81
2020-04-10,85,1313,10,2212,30011,91
2020-04-11,160,169,10,2372,30180,101
2020-04-12,32,257,8,2404,30437,109
2020-04-13,44,1804,1,2448,32241,110
2020-04-14,122,1316,6,2570,33557,116
2020-04-15,113,1357,3,2683,34914,119
2020-04-16,157,1396,4,2840,36310,123
2020-04-17,85,1350,8,2925,37660,131
2020-04-18,91,251,4,3016,37911,135
2020-04-19,53,245,4,3069,38156,139
2020-04-20,67,1739,4,3136,39895,143
2020-04-21,119,1375,3,3255,41270,146
2020-04-22,88,1261,5,3343,42531,151
2020-04-23,108,1032,2,3451,43563,153
2020-04-24,78,1219,4,3529,44782,157
2020-04-25,115,278,3,3644,45060,160
2020-04-26,46,264,1,3690,45324,161
2020-04-27,32,1205,0,3722,46529,161
2020-04-28,83,872,1,3805,47401,162
2020-04-29,107,294,1,3912,47695,163
2020-04-30,59,1092,0,3971,48787,163
2020-05-01,92,850,2,4063,49637,165
2020-05-02,84,287,0,4147,49924,165
2020-05-03,56,237,0,4203,50161,165
2020-05-04,39,298,2,4242,50459,167
2020-05-05,38,256,1,4280,50715,168
2020-05-06,44,307,0,4324,51022,168
2020-05-07,38,958,0,4362,51980,168
2020-05-08,50,662,0,4412,52642,168
2020-05-09,68,267,0,4480,52909,168
2020-05-10,28,251,0,4508,53160,168
2020-05-11,34,841,0,4542,54001,168
2020-05-12,74,594,0,4616,54595,168
2020-05-13,80,518,0,4696,55113,168
2020-05-14,61,519,0,4757,55632,168
2020-05-15,68,489,0,4825,56121,168
2020-05-16,64,165,0,4889,56286,168
2020-05-17,26,183,0,4915,56469,168
2020-05-18,9,509,0,4924,56978,168
2020-05-19,44,354,0,4968,57332,168
2020-05-20,46,337,0,5014,57669,168
2020-05-21,46,284,0,5060,57953,168
2020-05-22,39,238,0,5099,58191,168
2020-05-23,27,129,0,5126,58320,168
2020-05-24,9,139,0,5135,58459,168
2020-05-25,6,368,0,5141,58827,168
2020-05-26,37,286,0,5178,59113,168
2020-05-27,31,260,0,5209,59373,168
2020-05-28,30,224,0,5239,59597,168
2020-05-29,27,252,0,5266,59849,168
2020-05-30,31,102,0,5297,59951,168
2020-05-31,1,100,0,5298,60051,168
2020-06-01,7,294,0,5305,60345,168
2020-06-02,35,295,0,5340,60640,168
2020-06-03,28,321,0,5368,60961,168
2020-06-04,26,352,0,5394,61313,168
2020-06-05,36,334,0,5430,61647,168
2020-06-06,44,156,0,5474,61803,168
2020-06-07,14,110,0,5488,61913,168
2020-06-08,6,376,0,5494,62289,168
2020-06-09,64,226,0,5558,62515,168
2020-06-10,28,269,0,5586,62784,168
2020-06-11,43,318,0,5629,63102,168
2020-06-12,16,264,0,5645,63366,168
2020-06-13,23,91,0,5668,63457,168
2020-06-14,6,98,0,5674,63555,168
2020-06-15,3,312,0,5677,63867,168
2020-06-16,30,212,0,5707,64079,168
2020-06-17,25,196,0,5732,64275,168
2020-06-18,19,187,0,5751,64462,168
2020-06-19,13,189,0,5764,64651,168
2020-06-20,23,112,2,5787,64763,170
2020-06-21,2,88,0,5789,64851,170
2020-06-22,5,292,0,5794,65143,170
2020-06-23,25,219,0,5819,65362,170
2020-06-24,20,212,0,5839,65574,170
2020-06-25,28,236,0,5867,65810,170
2020-06-26,18,300,2,5885,66110,172
2020-06-27,25,114,0,5910,66224,172
2020-06-28,3,127,1,5913,66351,173
2020-06-29,5,365,1,5918,66716,174
2020-06-30,42,340,0,5960,67056,174
2020-07-01,41,349,0,6001,67405,174
2020-07-02,51,319,2,6052,67724,176
2020-07-03,33,380,6,6085,68104,182
2020-07-04,63,166,1,6148,68270,183
2020-07-05,19,123,0,6167,68393,183
2020-07-06,30,478,3,6197,68871,186
2020-07-07,63,362,1,6260,69233,187
2020-07-08,65,351,1,6325,69584,188
2020-07-09,30,383,1,6355,69967,189
2020-07-10,43,425,7,6398,70392,196
2020-07-11,77,174,0,6475,70566,196
2020-07-12,12,133,3,6487,70699,199
2020-07-13,10,579,3,6497,71278,202
2020-07-14,84,642,2,6581,71920,204
2020-07-15,78,521,5,6659,72441,209
2020-07-16,60,619,2,6719,73060,211
2020-07-17,124,618,4,6843,73678,215
2020-07-18,90,211,5,6933,73889,220
2020-07-19,34,190,5,6967,74079,225
2020-07-20,18,744,1,6985,74823,226
2020-07-21,113,615,4,7098,75438,230
2020-07-22,129,593,5,7227,76031,235
2020-07-23,64,236,2,7291,76267,237
2020-07-24,60,256,2,7351,76523,239
2020-07-25,21,210,0,7372,76733,239
2020-07-26,25,210,3,7397,76943,242
2020-07-27,32,803,2,7429,77746,244
2020-07-28,117,619,15,7546,78365,259
2020-07-29,111,733,9,7657,79098,268
2020-07-30,87,887,12,7744,79985,280
2020-07-31,221,946,14,7965,80931,294
2020-08-01,145,264,14,8110,81195,308
2020-08-02,64,232,14,8174,81427,322
2020-08-03,12,970,5,8186,82397,327
2020-08-04,224,705,7,8410,83102,334
2020-08-05,283,765,10,8693,83867,344
2020-08-06,139,895,12,8832,84762,356
2020-08-07,127,790,12,8959,85552,368
2020-08-08,158,236,12,9117,85788,380
2020-08-09,132,242,17,9249,86030,397
2020-08-10,94,286,6,9343,86316,403
2020-08-11,142,770,3,9485,87086,406
2020-08-12,230,654,10,9715,87740,416
2020-08-13,150,478,15,9865,88218,431
2020-08-14,73,488,12,9938,88706,443
2020-08-15,83,239,7,10021,88945,450
2020-08-16,29,216,2,10050,89161,452
2020-08-17,38,798,4,10088,89959,456
2020-08-18,159,604,7,10247,90563,463
2020-08-19,98,594,13,10345,91157,476
2020-08-20,136,569,3,10481,91726,479
2020-08-21,106,632,11,10587,92358,490
2020-08-22,120,185,8,10707,92543,498
2020-08-23,54,160,5,10761,92703,503
2020-08-24,44,642,4,10805,93345,507
2020-08-25,144,549,5,10949,93894,512
2020-08-26,134,547,12,11083,94441,524
2020-08-27,113,459,8,11196,94900,532
2020-08-28,92,499,6,11288,95399,538
2020-08-29,167,164,4,11455,95563,542
2020-08-30,52,188,2,11507,95751,544
2020-08-31,51,501,1,11558,96252,545
2020-09-01,76,414,4,11634,96666,549
2020-09-02,64,400,6,11698,97066,555
2020-09-03,89,407,4,11787,97473,559
2020-09-04,100,478,8,11887,97951,567
2020-09-05,110,164,6,11997,98115,573
2020-09-06,38,146,10,12035,98261,583
2020-09-07,47,466,0,12082,98727,583
2020-09-08,123,402,5,12205,99129,588
2020-09-09,50,324,1,12255,99453,589
2020-09-10,33,303,4,12288,99756,593
2020-09-11,74,373,13,12362,100129,606
2020-09-12,118,180,3,12480,100309,609
2020-09-13,39,144,3,12519,100453,612
2020-09-14,23,392,2,12542,100845,614
2020-09-15,150,330,2,12692,101175,616
2020-09-16,54,300,2,12746,101475,618
2020-09-17,38,293,3,12784,101768,621
2020-09-18,48,301,1,12832,102069,622
2020-09-19,33,117,1,12865,102186,623
2020-09-20,78,123,1,12943,102309,624
2020-09-21,9,136,3,12952,102445,627
2020-09-22,26,143,2,12978,102588,629
2020-09-23,18,357,1,12996,102945,630
2020-09-24,29,315,1,13025,103260,631
2020-09-25,39,324,1,13064,103584,632
2020-09-26,79,130,5,13143,103714,637
2020-09-27,60,101,1,13203,103815,638
2020-09-28,16,344,11,13219,104159,649
2020-09-29,39,291,3,13258,104450,652
2020-09-30,107,265,5,13365,104715,657
2020-10-01,47,253,2,13412,104968,659
2020-10-02,35,330,9,13447,105298,668
2020-10-03,18,98,3,13465,105396,671
2020-10-04,22,132,5,13487,105528,676
2020-10-05,15,331,1,13502,105859,677
2020-10-06,40,243,4,13542,106102,681
2020-10-07,113,253,12,13655,106355,693
2020-10-08,38,219,5,13693,106574,698
2020-10-09,45,261,2,13738,106835,700
2020-10-10,31,116,6,13769,106951,706
2020-10-11,19,136,3,13788,107087,709
2020-10-12,99,347,1,13887,107434,710
2020-10-13,33,255,0,13920,107689,710
