日付,合計,専用ダイヤル累計,相談対応件数,相談対応件数累計,女性,男性,陽性数,累積陽性数
2020-01-16,0,0,0,0,0,1,1,1
2020-01-25,11,11,0,0,0,0,0,1
2020-01-26,12,23,0,0,0,0,0,1
2020-01-27,38,61,0,0,0,0,0,1
2020-01-28,37,98,0,0,0,0,0,1
2020-01-29,73,171,0,0,0,0,0,1
2020-01-30,103,274,0,0,0,0,0,1
2020-01-31,124,398,0,0,0,0,0,1
2020-02-01,65,463,0,0,0,0,0,1
2020-02-02,58,521,0,0,0,0,0,1
2020-02-03,114,635,0,0,0,0,0,1
2020-02-04,84,719,0,0,0,0,0,1
2020-02-05,88,807,0,0,0,0,0,1
2020-02-06,79,886,0,0,0,0,0,1
2020-02-07,81,967,0,0,0,0,0,1
2020-02-08,45,1012,0,0,0,0,0,1
2020-02-09,29,1041,0,0,0,0,0,1
2020-02-10,87,1128,50,50,0,0,0,1
2020-02-11,48,1176,15,65,0,1,1,2
2020-02-12,66,1242,64,129,0,0,0,2
2020-02-13,48,1290,60,189,1,0,1,3
2020-02-14,278,1568,155,344,0,1,1,4
2020-02-15,244,1812,139,483,0,0,0,4
2020-02-16,230,2042,87,570,0,0,0,4
2020-02-17,349,2391,457,1027,1,0,1,5
2020-02-18,274,2665,551,1578,0,1,1,6
2020-02-19,294,2959,581,2159,0,2,2,8
2020-02-20,252,3211,524,2683,1,1,2,10
2020-02-21,297,3508,564,3247,2,1,3,13
2020-02-22,259,3767,316,3563,0,1,1,14
2020-02-23,279,4046,293,3856,0,0,0,14
2020-02-24,371,4417,358,4214,3,1,4,18
2020-02-25,440,4857,1017,5231,0,0,0,18
2020-02-26,336,5193,871,6102,0,1,1,19
2020-02-27,387,5580,878,6980,1,2,3,22
2020-02-28,346,5926,860,7840,1,1,2,24
2020-02-29,326,6252,369,8209,0,0,0,24
2020-03-01,344,6596,405,8614,2,1,3,27
2020-03-02,376,6972,1274,9888,1,3,4,31
2020-03-03,362,7334,924,10812,1,0,1,32
2020-03-04,262,7596,985,11797,0,0,0,32
2020-03-05,296,7892,845,12642,1,2,3,35
2020-03-06,308,8200,830,13472,1,5,6,41
2020-03-07,271,8471,450,13922,0,1,1,42
2020-03-08,270,8741,377,14299,0,0,0,42
2020-03-09,457,9198,1218,15517,0,0,0,42
2020-03-10,335,9533,904,16421,1,1,2,44
2020-03-11,266,9799,830,17251,2,1,3,47
2020-03-12,284,10083,790,18041,1,2,3,50
2020-03-13,283,10366,851,18892,0,1,1,51
2020-03-14,217,10583,339,19231,0,0,0,51
2020-03-15,218,10801,318,19549,3,3,6,57
2020-03-16,284,11085,1085,20634,0,0,0,57
2020-03-17,268,11353,766,21400,3,1,4,61
2020-03-18,281,11634,748,22148,0,1,1,62
2020-03-19,259,11893,774,22922,1,5,6,68
2020-03-20,209,12102,282,23204,1,1,2,70
2020-03-21,219,12321,407,23611,1,3,4,74
2020-03-22,195,12516,275,23886,2,3,5,79
2020-03-23,285,12801,932,24818,0,0,0,79
2020-03-24,255,13056,650,25468,3,3,6,85
2020-03-25,319,13375,772,26240,1,3,4,89
2020-03-26,470,13845,928,27168,1,5,6,95
2020-03-27,366,14211,1187,28355,4,7,11,106
2020-03-28,458,14669,626,28981,3,9,12,118
2020-03-29,397,15066,507,29488,4,5,9,127
2020-03-30,479,15545,1712,31200,1,2,3,130
2020-03-31,422,15967,1392,32592,9,5,14,144
2020-04-01,305,16272,1508,34100,8,11,19,163
2020-04-02,306,16578,1766,35866,9,16,25,188
2020-04-03,361,16939,1792,37658,14,17,31,219
2020-04-04,383,17322,1037,38695,5,16,21,240
2020-04-05,439,17761,802,39497,11,16,27,267
2020-04-06,447,18208,2188,41685,0,6,6,273
2020-04-07,332,18540,1901,43586,6,12,18,291
2020-04-08,397,18937,1878,45464,26,38,64,355
2020-04-09,500,19437,1936,47400,12,16,28,383
2020-04-10,439,19876,1897,49297,25,30,55,438
2020-04-11,503,20379,915,50212,32,44,76,514
2020-04-12,491,20870,797,51009,12,19,31,545
2020-04-13,461,21331,2283,53292,9,6,15,560
2020-04-14,465,21796,2059,55351,11,9,20,580
2020-04-15,411,22207,1944,57295,8,32,40,620
2020-04-16,390,22597,2024,59319,26,29,55,675
2020-04-17,424,23021,1918,61237,15,19,34,709
2020-04-18,405,23426,1006,62243,14,30,44,753
2020-04-19,388,23814,827,63070,11,19,30,783
2020-04-20,504,24318,2062,65132,3,13,16,799
2020-04-21,462,24780,1719,66851,5,9,14,813
2020-04-22,517,25297,1644,68495,15,10,25,838
2020-04-23,597,25894,1607,70102,18,21,39,877
2020-04-24,619,26513,1930,72032,17,15,32,909
2020-04-25,551,27064,1074,73106,11,20,31,940
2020-04-26,509,27573,863,73969,10,6,16,956
2020-04-27,747,28320,1950,75919,3,4,7,963
2020-04-28,540,28860,1496,77415,5,5,10,973
2020-04-29,466,29326,956,78371,8,18,26,999
2020-04-30,535,29861,1831,80202,16,10,26,1025
2020-05-01,524,30385,1557,81759,10,5,15,1040
2020-05-02,379,30764,1068,82827,27,9,36,1076
2020-05-03,343,31107,809,83636,14,9,23,1099
2020-05-04,376,31483,1125,84761,4,6,10,1109
2020-05-05,356,31839,1025,85786,9,5,14,1123
2020-05-06,515,32354,1108,86894,2,5,7,1130
2020-05-07,521,32875,1724,88618,7,6,13,1143
2020-05-08,349,33224,1230,89848,4,3,7,1150
2020-05-09,389,33613,1266,91114,3,5,8,1158
2020-05-10,341,33954,910,92024,9,4,13,1171
2020-05-11,473,34427,1945,93969,3,4,7,1178
2020-05-12,357,34784,1256,95225,6,9,15,1193
2020-05-13,306,35090,1254,96479,5,5,10,1203
2020-05-14,279,35369,1184,97663,22,10,32,1235
2020-05-15,295,35664,1122,98785,9,7,16,1251
2020-05-16,198,35862,704,99489,8,4,12,1263
2020-05-17,195,36057,602,100091,2,3,5,1268
2020-05-18,310,36367,1249,101340,4,4,8,1276
