都道府県コード,都道府県,緯度（世界測地系）,経度（世界測地系）,人口,面積,人口密度,病床数
1,北海道,43.06417,141.34694,5248552,78421,67,94
2,青森県,40.82444,140.74,1246138,9646,129,29
3,岩手県,39.70361,141.1525,1226430,15275,80,38
4,宮城県,38.26889,140.87194,2303160,7282,316,29
5,秋田県,39.71861,140.1025,965968,11638,83,32
6,山形県,38.24056,140.36333,1077057,9323,116,18
7,福島県,37.75,140.46778,1847950,13784,134,36
8,茨城県,36.34139,140.44667,2868041,6097,470,48
9,栃木県,36.56583,139.88361,1942312,6408,303,31
10,群馬県,36.39111,139.06083,1937626,6362,305,52
11,埼玉県,35.85694,139.64889,7337330,3798,1932,70
12,千葉県,35.60472,140.12333,6279026,5158,1217,58
13,東京都,35.68944,139.69167,13942856,2194,6355,118
14,神奈川県,35.44778,139.6425,9200166,2416,3808,74
15,新潟県,37.90222,139.02361,2222004,12584,177,36
16,富山県,36.69528,137.21139,1042998,4248,246,22
17,石川県,36.59444,136.62556,1137181,4186,272,20
18,福井県,36.06528,136.22194,767742,4191,183,20
19,山梨県,35.66389,138.56833,812056,4465,182,30
20,長野県,36.65139,138.18111,2049023,13562,151,46
21,岐阜県,35.39111,136.72222,1988931,10621,187,30
22,静岡県,34.97694,138.38306,3639226,7777,468,48
23,愛知県,35.18028,136.90667,7552873,5173,1460,72
24,三重県,34.73028,136.50861,1779770,5774,308,24
25,滋賀県,35.00444,135.86833,1413959,4017,352,34
26,京都府,35.02139,135.75556,2583140,4612,560,38
27,大阪府,34.68639,135.52,8823453,1905,4631,78
28,兵庫県,34.69139,135.18306,5463609,8401,650,50
29,奈良県,34.68528,135.83278,1331330,3691,361,24
30,和歌山県,34.22611,135.1675,923721,4725,196,32
31,鳥取県,35.50361,134.23833,555663,3507,158,12
32,島根県,35.47222,133.05056,673891,6708,100,30
33,岡山県,34.66167,133.935,1891346,7114,266,26
34,広島県,34.39639,132.45944,2807987,8480,331,30
35,山口県,34.18583,131.47139,1355495,6113,222,40
36,徳島県,34.06583,134.55944,728633,4147,176,23
37,香川県,34.34028,134.04333,956069,1877,509,24
38,愛媛県,33.84167,132.76611,1338811,5676,236,28
39,高知県,33.55972,133.53111,697674,7104,98,11
40,福岡県,33.60639,130.41806,5110113,4987,1025,66
41,佐賀県,33.24944,130.29889,814211,2441,334,24
42,長崎県,32.74472,129.87361,1325205,4131,321,38
43,熊本県,32.78972,130.74167,1746740,7409,236,48
44,大分県,33.23806,131.6125,1134431,6341,179,40
45,宮崎県,31.91111,131.42389,1072077,7735,139,31
46,鹿児島県,31.56028,130.55806,1599984,9187,174,45
47,沖縄県,26.2125,127.68111,1454184,2281,638,24
