date,pcr,positive,symptom,symptomless,symptomConfirming,hospitalized,mild,severe,confirming,waiting,discharge,death
20200322,1173,16,4,12,0,16,14,0,0,2,0,0
20200323,1189,17,5,12,0,17,16,0,0,1,0,0
20200324,1417,18,5,13,0,17,17,0,0,0,1,0
20200325,1426,18,5,13,0,17,17,0,0,0,1,0
20200326,1484,23,10,13,0,22,22,0,0,0,1,0
20200327,1513,23,10,13,0,22,22,0,0,0,1,0
20200328,1530,31,15,16,0,30,30,0,0,0,1,0
20200329,1530,31,15,16,0,30,30,0,0,0,1,0
20200330,1530,31,15,16,0,30,30,0,0,0,1,0
20200331,1580,51,17,34,0,50,50,0,0,0,1,0
20200401,1677,56,18,38,0,55,55,0,0,0,1,0
20200402,1679,60,19,41,0,59,59,0,0,0,1,0
20200403,1930,61,19,42,0,60,60,0,0,0,1,0
20200404,2061,65,23,42,0,64,64,0,0,0,1,0
20200405,3547,65,23,42,0,64,64,0,0,0,1,0
20200406,4862,70,23,47,0,68,68,0,0,0,2,0
20200407,6125,74,24,50,0,72,72,0,0,0,2,0
20200408,7768,74,24,50,0,72,72,0,0,0,2,0
20200409,9274,86,29,57,0,84,84,0,0,0,2,0
20200410,10817,86,29,57,0,84,84,0,0,0,2,0
20200411,12071,88,29,59,0,86,86,0,0,0,2,0
20200412,13420,117,34,83,0,115,115,0,0,0,2,0
20200413,14741,117,34,83,0,115,115,0,0,0,2,0
20200414,15921,121,34,87,0,119,119,0,0,0,2,0
20200415,16982,121,34,87,0,119,119,0,0,0,2,0
20200416,18049,125,34,91,0,123,123,0,0,0,2,0
20200417,18743,125,34,91,0,123,123,0,0,0,2,0
20200418,19446,126,34,92,0,124,124,0,0,0,2,0
20200419,20292,127,34,93,0,125,125,0,0,0,2,0
20200420,21070,128,34,94,0,126,126,0,0,0,2,0
