id,name-ja,name-en,regions,lat,lng
1,北海道,Hokkaido,0,43.46722222,142.8277778
2,青森,Aomori,1,40.78027778,140.8319444
3,岩手,Iwate,1,39.59138889,141.3625
4,宮城,Miyagi,1,38.44555556,140.9280556
5,秋田,Akita,1,39.7475,140.4086111
6,山形,Yamagata,1,38.44638889,140.1027778
7,福島,Fukushima,1,37.37888889,140.2252778
8,茨城,Ibaraki,2,36.30638889,140.3186111
9,栃木,Tochigi,2,36.68916667,139.8191667
10,群馬,Gunma,2,36.50388889,138.9852778
11,埼玉,Saitama,2,35.99666667,139.3477778
12,千葉,Chiba,2,35.51277778,140.2038889
13,東京,Tokyo,2,35.7023137,139.5803228
14,神奈川,Kanagawa,2,35.41416667,139.3402778
15,新潟,Niigata,3,37.51888889,138.9172222
16,富山,Toyama,3,36.63611111,137.2680556
17,石川,Ishikawa Prefecture,3,36.76583333,136.7713889
18,福井,Fukui Prefecture,3,35.84666667,136.2272222
19,山梨,Yamanashi,3,35.61222222,138.6116667
20,長野,Nagano,3,36.13,138.0438889
21,岐阜,Gifu Prefecture,3,35.7775,137.055
22,静岡,Shizuoka,3,35.01694444,138.33
23,愛知,Aichi,3,35.03444444,137.215
24,三重,Mie Prefecture,4,34.51361111,136.3813889
25,滋賀,Shiga,4,35.21527778,136.1380556
26,京都,Kyoto Prefecture,4,35.25194444,135.4458333
27,大阪,Osaka Prefecture,4,34.62277778,135.5111111
28,兵庫,Hyogo Prefecture,4,35.03694444,134.8286111
29,奈良,Nara Prefecture,4,34.31555556,135.8713889
30,和歌山,Wakayama Prefecture,4,33.90944444,135.5133333
31,鳥取,Tottori Prefecture,5,35.36055556,133.8516667
32,島根,Shimane,5,35.07305556,132.5594444
33,岡山,Okayama Prefecture,5,34.90083333,133.8152778
34,広島,Hiroshima,5,34.60361111,132.7875
35,山口,Yamaguchi,5,34.19861111,131.575
36,徳島,Tokushima Prefecture,6,33.91805556,134.2430556
37,香川,Kagawa Prefecture,6,34.24305556,133.9966667
38,愛媛,Ehime Prefecture,6,33.62194444,132.8558333
39,高知,Kōchi Prefecture,6,33.42111111,133.3666667
40,福岡,Fukuoka Prefecture,7,33.5225,130.6680556
41,佐賀,Saga Prefecture,7,33.28527778,130.1169444
42,長崎,Nagasaki Prefecture,7,33.2275,129.6141667
43,熊本,Kumamoto,7,32.615,130.7563889
44,大分,Oita,7,33.19916667,131.4341667
45,宮崎,Miyazaki Prefecture,7,32.19083333,131.3005556
46,鹿児島,Kagoshima Prefecture,7,31.01277778,130.4241667
47,沖縄,Okinawa Prefecture,8,25.77111111,126.64
