ja,受診都道府県,発症から診断までの平均日数,id,name-en,regions,lat,lng
三重,三重県,4.5,24,Mie Prefecture,4,34.51361111,136.3813889
京都,京都府,6.05,26,Kyoto Prefecture,4,35.25194444,135.4458333
佐賀,佐賀県,6.3,41,Saga Prefecture,7,33.28527778,130.1169444
兵庫,兵庫県,6.29,28,Hyogo Prefecture,4,35.03694444,134.8286111
北海道,北海道,7.62,1,Hokkaido,0,43.46722222,142.8277778
千葉,千葉県,6.32,12,Chiba,2,35.51277778,140.2038889
和歌山,,,30,Wakayama Prefecture,4,33.90944444,135.5133333
埼玉,埼玉県,6.39,11,Saitama,2,35.99666667,139.3477778
大分,大分県,6.65,44,Oita,7,33.19916667,131.4341667
大阪,大阪府,6.71,27,Osaka Prefecture,4,34.62277778,135.5111111
奈良,奈良県,6.75,29,Nara Prefecture,4,34.31555556,135.8713889
宮城,宮城県,5.38,4,Miyagi,1,38.44555556,140.9280556
宮崎,宮崎県,5.22,45,Miyazaki Prefecture,7,32.19083333,131.3005556
富山,富山県,4.18,16,Toyama,3,36.63611111,137.2680556
山口,山口県,5.75,35,Yamaguchi,5,34.19861111,131.575
山形,山形県,5.82,6,Yamagata,1,38.44638889,140.1027778
山梨,山梨県,3.83,19,Yamanashi,3,35.61222222,138.6116667
岐阜,岐阜県,6.13,21,Gifu Prefecture,3,35.7775,137.055
岡山,岡山県,6,33,Okayama Prefecture,5,34.90083333,133.8152778
岩手,,,3,Iwate,1,39.59138889,141.3625
島根,,,32,Shimane,5,35.07305556,132.5594444
広島,広島県,7.53,34,Hiroshima,5,34.60361111,132.7875
徳島,徳島県,3,36,Tokushima Prefecture,6,33.91805556,134.2430556
愛媛,愛媛県,4.8,38,Ehime Prefecture,6,33.62194444,132.8558333
愛知,愛知県,3.77,23,Aichi,3,35.03444444,137.215
新潟,新潟県,8.41,15,Niigata,3,37.51888889,138.9172222
東京,東京都,8.51,13,Tokyo,2,35.7023137,139.5803228
栃木,栃木県,5.39,9,Tochigi,2,36.68916667,139.8191667
沖縄,沖縄県,6.24,47,Okinawa Prefecture,8,25.77111111,126.64
滋賀,滋賀県,6.04,25,Shiga,4,35.21527778,136.1380556
熊本,熊本県,2.5,43,Kumamoto,7,32.615,130.7563889
石川,石川県,6.24,17,Ishikawa Prefecture,3,36.76583333,136.7713889
神奈川,神奈川県,,14,Kanagawa,2,35.41416667,139.3402778
福井,福井県,5.18,18,Fukui Prefecture,3,35.84666667,136.2272222
福岡,福岡県,5.73,40,Fukuoka Prefecture,7,33.5225,130.6680556
福島,福島県,5.79,7,Fukushima,1,37.37888889,140.2252778
秋田,秋田県,2.88,5,Akita,1,39.7475,140.4086111
群馬,群馬県,5.39,10,Gunma,2,36.50388889,138.9852778
茨城,茨城県,4.47,8,Ibaraki,2,36.30638889,140.3186111
長崎,長崎県,6.29,42,Nagasaki Prefecture,7,33.2275,129.6141667
長野,長野県,6.43,20,Nagano,3,36.13,138.0438889
青森,青森県,5.36,2,Aomori,1,40.78027778,140.8319444
静岡,静岡県,5.19,22,Shizuoka,3,35.01694444,138.33
香川,香川県,4,37,Kagawa Prefecture,6,34.24305556,133.9966667
高知,高知県,7.29,39,Kōchi Prefecture,6,33.42111111,133.3666667
鳥取,,,31,Tottori Prefecture,5,35.36055556,133.8516667
鹿児島,鹿児島県,6,46,Kagoshima Prefecture,7,31.01277778,130.4241667
