グラフ非表示,年,月,日,日検査数,検査累計,日陽性数,陽性累計,日患者数,患者累計,日軽症中等症数,軽症中等症累計,日重症数,重症累計,日死亡数,死亡累計,日治療終了数,治療終了累計,備考
"",2020,1,28,,,1,1,1,1,,,,,0,0,,,データは日毎の人数で、空白は発表されていないデータである
"",2020,1,29,,,0,1,0,1,,,,,0,0,,,""
x,2020,1,30,,,0,1,0,1,,,,,0,0,,,""
x,2020,1,31,,,0,1,0,1,,,,,0,0,,,""
x,2020,2,1,,,0,1,0,1,,,,,0,0,,,""
x,2020,2,2,,,0,1,0,1,,,,,0,0,,,""
x,2020,2,3,,,0,1,0,1,,,,,0,0,,,""
x,2020,2,4,,,0,1,0,1,,,,,0,0,,,""
x,2020,2,5,,,0,1,0,1,,,,,0,0,,,""
x,2020,2,6,,,0,1,0,1,,,,,0,0,,,""
x,2020,2,7,,,0,1,0,1,,,,,0,0,,,""
x,2020,2,8,,,0,1,0,1,,,,,0,0,,,""
x,2020,2,9,,,0,1,0,1,,,,,0,0,,,""
x,2020,2,10,,,0,1,0,1,,,,,0,0,,,""
x,2020,2,11,,,0,1,0,1,,,,,0,0,,,""
"",2020,2,12,,,0,1,0,1,,,,,0,0,,,""
"",2020,2,13,,,0,1,0,1,,,,,0,0,,,""
"",2020,2,14,,,1,2,0,1,,,,,0,0,1,1,""
"",2020,2,15,,,0,2,0,1,,,,,0,0,0,1,""
"",2020,2,16,,,0,2,0,1,,,,,0,0,0,1,""
"",2020,2,17,,,0,2,0,1,,,,,0,0,0,1,""
"",2020,2,18,,,1,3,1,2,,,,,0,0,0,1,""
"",2020,2,19,,,2,5,2,4,,,,,0,0,0,1,""
"",2020,2,20,,,0,5,0,4,,,,,0,0,0,1,""
"",2020,2,21,,,3,8,3,7,,,,,0,0,0,1,""
"",2020,2,22,,,10,18,10,17,,,,,0,0,0,1,""
"",2020,2,23,,,8,26,8,25,,,,,0,0,0,1,""
"",2020,2,24,,,4,30,4,29,,,,,0,0,0,1,""
"",2020,2,25,,,5,35,4,33,,,,,1,1,0,1,""
"",2020,2,26,,,4,39,4,37,,,,,0,1,0,1,""
"",2020,2,27,,,15,54,14,51,,,,,1,2,0,1,""
"",2020,2,28,,,12,66,11,62,,,,,0,2,1,2,""
"",2020,2,29,,,4,70,2,64,,,,,1,3,1,3,""
"",2020,3,1,,,2,72,-3,61,,,,,0,3,5,8,""
"",2020,3,2,,,5,77,1,62,,,,,0,3,4,12,""
"",2020,3,3,604,604,2,79,-7,55,,,,,0,3,9,21,検査数については、3月3日からの発表のため、このデータはこれまでの累計である
"",2020,3,4,110,714,3,82,2,57,,,,,0,3,1,22,""
"",2020,3,5,77,791,1,83,-3,54,,,,,0,3,4,26,""
"",2020,3,6,101,892,7,90,1,55,,,,,0,3,6,32,""
