都道府県コード,都道府県,緯度（世界測地系）,経度（世界測地系）,入力済み罹患者数,人口,面積,人口密度
1,北海道,43.06417,141.34694,171,"5,248,552","78,421",67
2,青森県,40.82444,140.74,7,"1,246,138","9,646",129
3,岩手県,39.70361,141.1525,0,"1,226,430","15,275",80
4,宮城県,38.26889,140.87194,2,"2,303,160","7,282",316
5,秋田県,39.71861,140.1025,4,"965,968","11,638",83
6,山形県,38.24056,140.36333,0,"1,077,057","9,323",116
7,福島県,37.75,140.46778,2,"1,847,950","13,784",134
8,茨城県,36.34139,140.44667,16,"2,868,041","6,097",470
9,栃木県,36.56583,139.88361,11,"1,942,312","6,408",303
10,群馬県,36.39111,139.06083,14,"1,937,626","6,362",305
11,埼玉県,35.85694,139.64889,71,"7,337,330","3,798","1,932"
12,千葉県,35.60472,140.12333,69,"6,279,026","5,158","1,217"
13,東京都,35.68944,139.69167,259,"13,942,856","2,194","6,355"
14,神奈川県,35.44778,139.6425,98,"9,200,166","2,416","3,808"
15,新潟県,37.90222,139.02361,29,"2,222,004","12,584",177
16,富山県,36.69528,137.21139,0,"1,042,998","4,248",246
17,石川県,36.59444,136.62556,9,"1,137,181","4,186",272
18,福井県,36.06528,136.22194,7,"767,742","4,191",183
19,山梨県,35.66389,138.56833,4,"812,056","4,465",182
20,長野県,36.65139,138.18111,4,"2,049,023","13,562",151
21,岐阜県,35.39111,136.72222,15,"1,988,931","10,621",187
22,静岡県,34.97694,138.38306,4,"3,639,226","7,777",468
23,愛知県,35.18028,136.90667,163,"7,552,873","5,173","1,460"
24,三重県,34.73028,136.50861,10,"1,779,770","5,774",308
25,滋賀県,35.00444,135.86833,6,"1,413,959","4,017",352
26,京都府,35.02139,135.75556,35,"2,583,140","4,612",560
27,大阪府,34.68639,135.52,191,"8,823,453","1,905","4,631"
28,兵庫県,34.69139,135.18306,122,"5,463,609","8,401",650
29,奈良県,34.68528,135.83278,13,"1,331,330","3,691",361
30,和歌山県,34.22611,135.1675,17,"923,721","4,725",196
31,鳥取県,35.50361,134.23833,0,"555,663","3,507",158
32,島根県,35.47222,133.05056,0,"673,891","6,708",100
33,岡山県,34.66167,133.935,3,"1,891,346","7,114",266
34,広島県,34.39639,132.45944,4,"2,807,987","8,480",331
35,山口県,34.18583,131.47139,6,"1,355,495","6,113",222
36,徳島県,34.06583,134.55944,1,"728,633","4,147",176
37,香川県,34.34028,134.04333,1,"956,069","1,877",509
38,愛媛県,33.84167,132.76611,4,"1,338,811","5,676",236
39,高知県,33.55972,133.53111,12,"697,674","7,104",98
40,福岡県,33.60639,130.41806,22,"5,110,113","4,987","1,025"
41,佐賀県,33.24944,130.29889,1,"814,211","2,441",334
42,長崎県,32.74472,129.87361,2,"1,325,205","4,131",321
43,熊本県,32.78972,130.74167,8,"1,746,740","7,409",236
44,大分県,33.23806,131.6125,27,"1,134,431","6,341",179
45,宮崎県,31.91111,131.42389,3,"1,072,077","7,735",139
46,鹿児島県,31.56028,130.55806,1,"1,599,984","9,187",174
47,沖縄県,26.2125,127.68111,6,"1,454,184","2,281",638
