date,call,fax,mail,line
20200128,99,,,3
20200129,250,,,3
20200130,306,,,3
20200131,512,,,7
20200201,840,,,12
20200202,716,,,17
20200203,1129,,,47
20200204,982,,,72
20200205,929,,,72
20200206,829,,,72
20200207,1331,,,85
20200208,673,,,85
20200209,625,,,85
20200210,958,,,100
20200211,624,,,100
20200212,1185,,,155
20200213,893,,,155
20200214,2142,0,,155
20200215,2732,0,,155
20200216,3415,0,,155
20200217,6368,1,,180
20200218,4427,3,,180
20200219,3596,4,0,180
20200220,3303,3,1,180
20200221,3756,4,2,180
20200222,3466,0,3,180
20200223,3264,0,4,180
20200224,4651,1,2,180
20200225,5608,1,3,180
20200226,5153,3,6,180
20200227,4890,3,8,180
20200228,4349,1,14,180
20200229,4140,4,10,180
20200301,3809,1,10,180
20200302,5230,4,10,180
20200303,4878,1,15,180
20200304,4284,1,5,180
20200305,4100,1,0,180
20200306,4300,1,6,180
20200307,3118,1,4,180
20200308,2857,2,5,180
20200309,4789,4,7,180
20200310,4000,2,5,180
20200311,3725,4,6,180
20200312,3607,1,2,180
20200313,3484,2,1,180
20200314,2522,1,2,180
20200315,2401,1,2,180
20200316,3366,1,3,180
20200317,2832,4,2,180
20200318,3395,1,2,180
20200319,3833,2,2,180
20200320,2731,0,5,180
20200321,2771,1,2,180
20200322,2499,0,4,180
20200323,3899,2,3,180
20200324,3909,0,3,180
20200325,3761,3,5,180
20200326,4342,0,5,180
20200327,5479,1,5,180
20200328,4937,1,7,180
20200329,4182,2,9,180
20200330,6973,1,8,180
20200331,7435,1,4,180
20200401,6230,0,11,180
