date,pcr,positive,symptom,symptomless,symtomConfirming,hospitalize,mild,severe,confirming,waiting,discharge,death
20200206,132,16,16,0,0,9,0,0,3,0,4,0
20200207,151,16,16,0,0,12,0,0,0,0,4,0
20200208,,,,,,,,,,,,
20200209,,,,,,,,,,,,
20200210,174,16,16,0,0,7,7,0,0,0,9,0
20200211,,,,,,,,,,,,
20200212,190,16,16,0,0,6,6,0,0,0,10,0
20200213,200,17,17,0,0,6,6,0,0,0,11,0
20200214,214,21,21,0,0,9,9,0,0,0,11,1
20200215,,,,,,,,,,,,1
20200216,,,,,,,,,,,,1
20200217,487,46,38,8,0,32,25,3,4,0,13,1
20200218,523,53,44,9,0,40,34,3,3,0,12,1
20200219,532,60,50,10,0,45,35,6,4,0,14,1
20200220,603,70,60,10,0,53,34,7,12,0,16,1
20200221,693,79,69,10,0,62,39,9,14,0,16,1
20200222,778,90,80,10,0,72,42,10,20,0,17,1
20200223,874,114,102,12,0,96,54,11,31,0,17,1
20200224,913,126,114,12,0,108,64,13,31,0,17,1
20200225,1017,140,128,12,1,121,69,14,38,0,18,1
20200226,1061,149,136,13,0,125,75,15,35,0,23,1
20200227,1229,171,156,15,0,138,71,16,51,0,30,3
20200228,1380,195,180,15,0,161,84,20,57,0,30,4
20200229,1510,215,197,18,0,176,96,22,58,3,31,5
20200301,1688,224,206,18,0,188,104,23,56,5,31,5
20200302,1784,239,221,18,0,201,108,23,65,5,32,6
20200303,1855,253,230,23,0,212,112,24,65,11,35,6
20200304,5690,269,246,23,0,226,111,24,78,13,37,6
20200305,5948,302,276,26,0,258,115,27,102,14,38,6
20200306,6647,333,302,31,0,271,153,30,68,20,56,6
20200307,7200,392,355,37,0,323,200,28,82,13,63,6
20200308,7347,439,397,42,0,366,222,27,102,15,67,6
20200309,7457,472,427,45,0,377,211,33,121,12,88,7
20200310,8771,498,446,52,0,400,232,31,120,17,89,9
20200311,9195,552,492,60,0,437,234,26,161,16,103,12
20200312,9376,604,542,62,0,481,271,29,166,15,108,15
20200313,11231,659,591,68,0,520,315,32,158,15,120,19
20200314,12090,699,629,69,1,548,338,35,161,14,129,21
20200315,12197,762,681,74,7,591,348,36,190,17,142,22
20200316,12239,794,702,74,18,603,348,41,194,20,149,24
20200317,14322,809,717,88,4,621,377,46,182,16,156,28
20200318,14525,853,758,92,3,645,398,46,187,14,176,29
20200319,14072,892,794,96,2,659,420,49,175,15,200,31
20200320,18015,928,829,97,2,681,435,50,182,14,212,33
20200321,18134,981,871,104,6,723,470,55,185,13,217,35
20200322,18226,1015,907,105,3,719,466,57,183,13,257,36
20200323,18322,1057,944,110,3,743,492,54,187,10,270,41
20200324,22184,1095,980,110,5,763,513,55,185,10,285,42
20200325,21266,1160,1039,113,8,816,546,57,203,10,294,43
20200326,22858,1253,1119,127,7,855,589,56,202,11,343,45
20200327,24663,1349,1191,131,27,920,647,57,203,13,356,46
20200328,26105,1453,1251,134,68,948,651,60,224,13,388,49
20200329,26401,1647,1352,162,133,1187,659,59,323,13,408,52
20200330,26607,1820,1420,190,210,1358,696,59,380,13,408,54
20200331,30088,1887,1466,195,226,1423,715,59,410,13,408,56
20200401,32002,2107,1594,202,311,1594,797,60,417,9,456,57
