code,ja,cn
L__01,新型コロナウイルス感染速報,新型冠状病毒疫情动态
L__02,新型コロナウイルス感染症マップ,新型冠状病毒肺炎疫情地图
L__03,確認累積数,确诊累计趋势图
L__04,国内事例,国内案例
L__05,厚生労働省,厚生劳动省
L__06,完治数,治愈数
L__07,死亡数,死亡数
L__08,観察中,疑似数
L__09,確認数,确诊数
L__10,日付,日期
L__11,人数,人数
L__12,無症状病原体保有者を含む,包含无症状患者
L__13,確認場所,确诊区域
L__14,最新情報,最新消息
L__15,標準図,标准图
L__16,ブロック図,方块图
L__17,新型コロナウイルス,新型冠状病毒
L__18,Coronavirus disease 2019 (COVID-19),Coronavirus disease 2019 (COVID-19)
L__19,発熱や上気道症状を引き起こすウイルスで、人に感染を起こすものは６種類あることが分かっています。そのうち、中東呼吸器症候群（MERS）や重症急性呼吸器症候群（SARS）などの、重症化傾向のある疾患の原因ウイルスも含まれています。それ以外の４種類のウイルスは、一般の風邪の原因の10～15％（流行期は35％）を占めます。,TEXT
L__20,出典,出处
L__21,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/dengue_fever_qa_00001.html,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/dengue_fever_qa_00001.html
L__22,コロナウイルスはどのようなウイルスですか？,什么是冠状病毒？
L__23,設定,设置
L__24,言語,语言
L__25,日本語,日语
L__26,中国語簡体字,中文简体
L__27,各統計値の前日（%1%）比べ,各数据较昨日（%1%）比
L__28,確認増加数,确诊增加数
L__29,観察中増加数,疑似增加数
L__30,完治増加数,治愈增加数
L__31,死亡増加数,死亡增加数
L__32,日本（Japan）,日本
L__33,世界（World）,世界
L__34,中国（China）,中国
L__35,クルーズ船,邮轮
L__36,チャーター便,撤侨专机
L__37,旧No.,旧No.
L__38,新No.,新No.
L__39,確定日,确诊日
L__40,年代,年龄层
L__41,性別,性别
L__42,居住地,居住地
L__43,周囲の患者の発生,周围出现患者
L__44,濃厚接触者数,密切接觸者数
L__45,調査状況,调查情况
L__46,カテゴリ,分类
L__47,備考,备注
L__48,確認報道,确认报道
L__49,男性,男性
L__50,女性,女性
L__51,歳代,年龄层
L__52,確認詳細,确诊详情
L__53,完治累積数,治愈累计数
L__54,表示設定,展示设定
L__55,検疫職員,检疫职员
L__56,関連,相关
L__57,うち,其中
L__58,背景画像,背景图
L__59,https://phil.cdc.gov/Details.aspx?pid=2871,https://phil.cdc.gov/Details.aspx?pid=2871
L__60,日本領土内確認数,日本领土内确诊数
L__61,前日比べ,较前日
