date,domestic,flight,domesticTotal,flightTotal,mildDomestic,severeDomestic,confirmingDomestic,mildDomesticTotal,severeDomesticTotal,confirmingDomesticTotal,mildFlight,severeFlight,confirmingFlight,mildFlightTotal,severeFlightTotal,confirmingFlightTotal
20200115,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200116,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200117,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200118,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200119,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200120,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200121,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200122,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200123,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200124,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200126,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200127,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200128,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200129,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200130,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200131,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200201,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200202,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200203,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200204,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200205,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
20200206,2,0,4,0,5,0,3,5,0,3,1,0,2,1,0,2
20200207,0,0,4,0,2,0,-3,7,0,0,0,0,0,1,0,2
20200208,0,0,4,0,0,0,0,7,0,0,0,0,0,1,0,2
20200209,0,0,4,0,0,0,0,7,0,0,0,0,0,1,0,2
20200210,5,0,9,0,0,0,0,7,0,0,3,0,1,4,0,3
20200211,0,0,9,0,0,0,0,7,0,0,0,0,0,4,0,3
20200212,1,0,10,0,-1,0,0,6,0,0,4,0,-2,8,0,1
20200213,1,0,11,0,0,0,0,6,0,0,1,0,-1,9,0,0
20200214,0,1,11,1,3,0,0,9,0,0,-1,0,0,8,0,0
20200215,0,0,11,1,0,0,0,9,0,0,0,0,0,8,0,0
20200216,0,0,11,1,0,0,0,9,0,0,0,0,0,8,0,0
20200217,2,2,13,3,8,3,4,17,3,4,-2,0,0,6,0,0
20200218,-1,1,12,4,8,0,-1,25,3,3,-1,0,0,5,0,0
20200219,2,0,14,4,0,3,1,25,6,4,0,0,0,5,0,0
20200220,2,0,16,4,0,0,0,25,6,4,0,0,0,5,0,0
20200221,0,0,16,4,4,3,10,29,9,14,1,0,0,6,0,0
20200222,1,0,17,4,0,0,0,29,9,14,0,0,0,6,0,0
20200223,0,3,17,7,13,2,17,42,11,31,0,0,1,6,0,1
20200224,0,2,17,9,10,2,0,52,13,31,-2,0,0,4,0,1
20200225,1,0,18,9,6,1,7,58,14,38,0,0,0,4,0,1
20200226,5,0,23,9,5,1,-3,63,15,35,0,0,0,4,0,1
20200227,7,1,30,10,-3,1,16,60,16,51,0,0,0,4,0,1
20200228,0,1,30,11,13,4,6,73,20,57,0,0,-1,4,0,0
20200229,1,0,31,11,9,2,1,82,22,58,0,0,0,4,0,0
20200301,0,0,31,11,8,1,-2,90,23,56,0,0,0,4,0,0
20200302,1,0,32,11,5,0,9,95,23,65,0,0,0,4,0,0
