Date,mild Domestic,severe Domestic,unknow Domestic,mild Flight,severe Flight,unknow Flight,mild Ship,severe Ship,unknown Ship,Note,,
20200204,7,0,0,0,0,0,,,,,,
20200205,9,0,1,0,0,0,,,,,,
20200206,5,0,3,1,0,2,,,,,,
20200207,7,0,0,3,0,0,,,,,,
20200208,,,,,,,,,,,,
20200209,,,,,,,,,,,,
20200210,7,0,0,4,0,3,,,,,,
20200211,,,,,,,,,,,,
20200212,6,0,0,8,0,1,,,,,,
20200213,6,0,0,9,0,0,,,,,,
20200214,9,0,0,8,0,0,,,,,,
20200215,,,,,,,,,,,,
20200216,,,,,,,,,,,,
20200217,17,3,4,6,0,0,,,,,,
20200218,25,3,3,5,0,0,,,,,,
20200219,25,6,4,5,0,0,,,,,,
20200220,,,,,,,,,,,,
20200221,29,9,14,6,0,0,,,,,,
20200222,,,,,,,,,,,,
20200223,42,11,31,6,0,1,,,,,,
20200224,52,13,31,4,0,1,,,,,,
20200225,58,14,38,4,0,1,,,,,,
20200226,63,15,35,4,0,1,,,,,,
20200227,60,16,51,4,0,1,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
