Date,mild Domestic,severe Domestic,unknow Domestic,mild Flight,severe Flight,unknow Flight,mild Ship,severe Ship,unknown Ship,Note,,
20200116,¡¡¡¡¡¡,,,,,,,,,,,
20200117,,,,,,,,,,,,
20200118,,,,,,,,,,,,
20200119,,,,,,,,,,,,
20200120,,,,,,,,,,,,
20200121,,,,,,,,,,,,
20200122,,,,,,,,,,,,
20200123,,,,,,,,,,,,
20200124,,,,,,,,,,,,
20200125,,,,,,,,,,,,
20200126,,,,,,,,,,,,
20200127,,,,,,,,,,,,
20200128,,,,,,,,,,,,
20200129,,,,,,,,,,,,
20200130,,,,,,,,,,,,
20200131,,,,,,,,,,,,
20200201,,,,,,,,,,,,
20200202,,,,,,,,,,,,
20200203,,,,,,,,,,,,
20200204,7,0,0,0,0,0,,,,,,
20200205,9,0,1,0,0,0,,,,,,
20200206,5,0,3,1,0,2,,,,,,
20200207,7,0,0,3,0,0,,,,,,
20200208,,,,,,,,,,,,
20200209,,,,,,,,,,,,
20200210,7,0,0,4,0,3,,,,,,
20200211,,,,,,,,,,,,
20200212,6,0,0,8,0,1,,,,,,
20200213,6,0,0,9,0,0,,,,,,
20200214,9,0,0,8,0,0,,,,,,
20200215,,,,,,,,,,,,
20200216,,,,,,,,,,,,
20200217,17,3,4,6,0,0,,,,,,
20200218,25,3,3,5,0,0,,,,,,
20200219,25,6,4,5,0,0,,,,,,
20200220,,,,,,,,,,,,
20200221,29,9,14,6,0,0,,,,,,0
20200222,,,,,,,,,,,,0
20200223,,,,,,,,,,,,
20200224,,,,,,,,,,,,
20200225,,,,,,,,,,,,
20200226,,,,,,,,,,,,
