date,mild domestic,severe domestic,unknow domestic,mild flight,severe flight,unknow flight,mild ship,severe ship,unknown ship,Note,,
2020/1/16,　　　1*,,,,,,,,,"*：本人が1月10日に入院、15日に退院し、在宅静養。
",,
2020/1/17,,,,,,,,,,,,
2020/1/18,,,,,,,,,,,,
2020/1/19,,,,,,,,,,,,
2020/1/20,,,,,,,,,,,,
2020/1/21,,,,,,,,,,,,
2020/1/22,,,,,,,,,,,,
2020/1/23,,,,,,,,,,,,
2020/1/24,,,,,,,,,,,,
2020/1/25,,,,,,,,,,,,
2020/1/26,,,,,,,,,,,,
2020/1/27,,,,,,,,,,,,
2020/1/28,,,,,,,,,,,,
2020/1/29,,,,,,,,,,,,
2020/1/30,,,,,,,,,,,,
2020/1/31,,,,,,,,,,,,
2020/2/1,,,,,,,,,,,,
2020/2/2,,,,,,,,,,,,
2020/2/3,,,,,,,,,,,,
2020/2/4,7,0,0,0,0,0,,,,,,
2020/2/5,9,0,1,0,0,0,,,,,,
2020/2/6,5,0,3,1,0,2,,,,,,
2020/2/7,7,0,0,3,0,0,,,,,,
2020/2/8,,,,,,,,,,,,
2020/2/9,,,,,,,,,,,,
2020/2/10,7,0,0,4,0,3,,,,,,
2020/2/11,,,,,,,,,,,,
2020/2/12,6,0,0,8,0,1,,,,,,
2020/2/13,6,0,0,9,0,0,,,,,,
2020/2/14,9,0,0,8,0,0,,,,,,
2020/2/15,,,,,,,,,,,,
2020/2/16,,,,,,,,,,,,
2020/2/17,17,3,4,6,0,0,,,,,,
2020/2/18,25,3,3,5,0,0,,,,,,
2020/2/19,25,6,4,5,0,0,,,,,,
2020/2/20,,,,,,,,,,,,
2020/2/21,,,,,,,,,,,,0
2020/2/22,,,,,,,,,,,,0
2020/2/23,,,,,,,,,,,,
2020/2/24,,,,,,,,,,,,
2020/2/25,,,,,,,,,,,,
2020/2/26,,,,,,,,,,,,
2020/2/27,,,,,,,,,,,,
2020/2/28,,,,,,,,,,,,
2020/2/29,,,,,,,,,,,,
2020/3/1,,,,,,,,,,,,
2020/3/2,,,,,,,,,,,,
