name,20200116,20200124,20200125,20200126,20200128,20200129,20200130,20200131
北海道,,,,,1,,,
青森,,,,,,,,
岩手,,,,,,,,
宮城,,,,,,,,
秋田,,,,,,,,
山形,,,,,,,,
福島,,,,,,,,
茨城,,,,,,,,
栃木,,,,,,,,
群馬,,,,,,,,
埼玉,,,,,,,,
千葉,,,,,,,,
東京,,1,1,,,,3,1
神奈川,1,,,,,,,
新潟,,,,,,,,
富山,,,,,,,,
石川,,,,,,,,
福井,,,,,,,,
山梨,,,,,,,,
長野,,,,,,,,
岐阜,,,,,,,,
静岡,,,,,,,,
愛知,,,,1,1,,,
三重,,,,,,,,1
滋賀,,,,,,,,
京都,,,,,,,,1
大阪,,,,,,1,,
兵庫,,,,,,,,
奈良,,,,,1,,,
和歌山,,,,,,,,
鳥取,,,,,,,,
島根,,,,,,,,
岡山,,,,,,,,
広島,,,,,,,,
山口,,,,,,,,
徳島,,,,,,,,
香川,,,,,,,,
愛媛,,,,,,,,
高知,,,,,,,,
福岡,,,,,,,,
佐賀,,,,,,,,
長崎,,,,,,,,
熊本,,,,,,,,
大分,,,,,,,,
宮崎,,,,,,,,
鹿児島,,,,,,,,
沖縄,,,,,,,,
